SNtype	Galtype	mag_g	bar
Ib        	 Scd      	18.30     	          
Ia        	 Scd      	14.20     	          
II        	 S        	18.58     	          
Ic        	 Sd       	14.74     	B         
Ib        	 Sbc      	13.48     	          
Ia        	 Sd       	14.07     	B         
II        	 Sbc      	14.82     	          
Ia        	 Sbc      	12.72     	          
II        	 Sbc      	15.53     	          
II        	 Sc       	13.89     	          
Ia        	 Sbc      	13.03     	B         
II        	 Sd       	17.02     	B         
Ia        	 S        	18.39     	          
Ia        	 S0/a     	16.56     	          
II        	 Sb       	15.46     	B         
Ia        	 Sbc      	15.60     	          
II        	 Im       	18.77     	          
Ia        	 Sa       	13.53     	          
Ia        	 Sbc      	14.62     	          
Ia        	 S0/a     	13.81     	          
Ia        	 E/S0     	13.95     	          
II        	 Sb       	14.36     	          
II        	 Sc       	17.09     	          
Ia        	 E/S0     	14.08     	          
II        	 Sc       	14.83     	          
Ia        	 Sb       	16.85     	          
Ia        	 E/S0     	13.69     	          
Ia        	 Sbc      	13.91     	          
Ia        	 S0/a     	14.23     	          
Ia        	 S        	17.58     	          
Ia        	 S0       	17.11     	          
II        	 Sc       	14.07     	          
II        	 Sbc      	13.16     	B         
Ia        	 S0/a     	15.57     	B         
II        	 Sc       	13.49     	          
Ia        	 Sbc      	15.53     	          
Ia        	 Sc       	14.52     	B         
Ia        	 S0/a     	16.15     	          
Ia        	 Sbc      	12.39     	B         
Ia        	 Sb       	17.29     	          
Ic        	 Sc       	14.81     	          
Ia        	 Sd       	14.34     	B         
Ia        	 Sa       	14.95     	          
II        	 Sb       	14.63     	B         
Ia        	 S0/a     	14.24     	          
Ia        	 S0       	15.94     	          
II        	 Sb       	17.51     	          
II        	 Sc       	13.37     	          
Ia        	 S0/a     	16.13     	B         
Ic        	 Sdm      	14.03     	          
Ia        	 Scd      	14.87     	B         
II        	 Sbc      	13.51     	          
II        	 Sbc      	13.84     	          
Ia        	 Sc       	13.98     	          
Ia        	 Sbc      	14.50     	B         
Ia        	 S        	16.61     	          
Ia        	 Sc       	13.43     	          
Ia        	 S0/a     	13.48     	B         
Ib        	 Sc       	14.41     	          
Ia        	 Sab      	14.58     	          
II        	 Sbc      	14.39     	B         
II        	 S0       	13.64     	          
Ia        	 S0/a     	13.97     	          
Ia        	 S0       	14.17     	          
II        	 Sb       	14.53     	          
Ib        	 Sc       	12.62     	          
Ia        	 S        	17.41     	          
Ia        	 S        	17.56     	          
Ia        	 Sbc      	14.41     	B         
Ia        	 Sb       	18.13     	          
II        	 Sb       	17.40     	          
Ia        	 S        	19.05     	          
Ia        	 Sbc      	17.18     	          
Ia        	 S        	17.27     	          
Ia        	 S        	19.42     	          
Ia        	 S        	21.31     	          
Ic        	 Sb       	14.51     	          
Ia        	 S        	18.37     	          
Ia        	 S pec    	18.04     	          
Ia        	 S        	17.95     	          
Ia        	 S0       	16.61     	          
II        	 Sbc      	16.23     	          
Ia        	 Sb       	14.77     	          
II        	 Sc       	13.79     	          
Ia        	 S        	17.34     	          
Ia        	 S        	16.71     	          
Ia        	 Sbc      	14.73     	B         
Ia        	 S        	20.11     	          
Ia        	 S        	19.72     	          
II        	 S        	17.43     	          
Ia        	 Sb       	17.23     	          
Ia        	 S        	19.01     	          
Ia        	 Sab      	16.62     	          
Ia        	 S        	18.13     	          
II        	 Sbc      	15.19     	B         
Ia        	 Im       	18.67     	          
Ia        	 Sdm      	17.80     	B         
II        	 Sbc      	17.35     	          
II        	 Sc       	16.53     	          
Ia        	 S        	19.49     	          
Ia        	 Sbc      	17.60     	B         
Ib/c      	 Sbc      	16.01     	          
Ia        	 S        	16.67     	          
Ib/c      	 Sd       	16.16     	          
II        	 Sbc      	16.51     	B         
II        	 Sc       	17.53     	          
II        	 S        	19.19     	          
II        	 Sbc      	15.13     	          
II        	 Sb       	14.49     	B         
Ib        	 S        	16.87     	          
Ia        	 S        	19.42     	          
Ia        	 S        	17.93     	          
Ia        	 S        	19.30     	          
Ia        	 S        	19.05     	          
Ia        	 S0/a     	14.49     	          
II        	 S        	20.24     	          
Ib/c      	 Sbc      	13.21     	          
Ib        	 Sdm      	14.91     	B         
Ib        	 Im       	18.04     	          
Ib/c      	 Sc       	13.96     	B         
Ia        	 Sb       	18.61     	B         
Ia        	 Sb       	14.78     	B         
Ia        	 S        	20.24     	          
Ia        	 S        	18.27     	          
Ia        	 S        	18.23     	          
Ia        	 S        	20.11     	          
Ia        	 S        	16.81     	          
II        	 Sbc      	16.06     	          
Ia        	 S        	16.81     	          
II        	 Sbc      	14.89     	          
Ia        	 Sb       	14.90     	          
Ia        	 S        	17.58     	          
Ia        	 S        	17.65     	          
Ia        	 S0       	14.18     	          
Ia        	 Sc       	13.03     	          
Ia        	 Sc       	14.73     	          
Ia        	 Sc       	15.91     	          
II        	 S        	17.93     	          
Ia        	 E/S0     	18.92     	          
Ia        	 S        	19.19     	          
Ia        	 S        	20.55     	          
Ia        	 S        	18.64     	          
Ic        	 S        	19.36     	          
Ia        	 S        	17.86     	          
Ia        	 Sbc      	17.07     	          
Ia        	 Sbc      	14.30     	B         
Ia        	 S        	18.44     	          
Ia        	 Sb       	17.95     	B         
Ia        	 S        	19.56     	          
Ia        	 S        	17.69     	          
II        	 Sa       	16.75     	          
II        	 Sdm      	16.30     	B         
II        	 S0/a     	17.59     	          
Ia        	 Im       	17.50     	          
Ia        	 Sbc      	15.28     	          
Ia        	 Sc       	13.67     	          
II        	 Sc       	13.03     	          
Ia        	 Sb       	15.32     	B         
Ia        	 Sbc      	15.40     	B         
II        	 Scd      	13.16     	B         
Ia        	 Sab      	18.00     	          
Ia        	 Sbc      	13.81     	B         
II        	 Sbc      	10.95     	          
II        	 Sc       	15.68     	          
II        	 Sc       	13.73     	          
Ia        	 Sd       	11.81     	B         
Ib        	 Scd      	16.51     	          
II        	 Sc       	11.80     	B         
II        	 Sc       	13.03     	          
Ia        	 E        	12.33     	          
Ia        	 S0/a     	14.14     	          
Ia        	 S0       	14.98     	          
II        	 Scd      	14.08     	          
Ia        	 S0       	12.75     	          
Ia        	 S0       	13.03     	          
Ia        	 Sb       	14.77     	B         
Ia        	 Sab      	13.68     	          
Ia        	 Sb       	14.57     	B         
Ia        	 Sdm      	17.68     	B         
Ia        	 Sc       	11.58     	          
II        	 S        	17.90     	          
II        	 Sc       	14.75     	          
II        	 Sb       	15.20     	B         
II        	 Scd      	19.05     	          
II        	 Sbc      	16.26     	          
Ia        	 Scd      	15.26     	          
Ia        	 S0       	15.38     	          
Ia        	 E        	13.04     	          
Ic        	 Sc       	14.04     	          
Ia        	 Sb       	15.22     	          
Ia        	 S0/a     	13.90     	          
Ia        	 Sbc      	16.38     	          
Ia        	 Sc       	15.15     	          
II        	 Sbc pec  	14.22     	B         
Ia        	 S        	17.89     	          
Ia        	 S0/a     	16.18     	          
Ia        	 S        	18.47     	          
Ia        	 Sc       	16.03     	          
Ia        	 Sb       	17.07     	B         
II        	 S        	17.63     	          
Ia        	 S        	17.92     	          
Ia        	 S        	18.52     	          
Ia        	 S        	18.27     	          
II        	 Sb       	16.26     	          
Ib        	 Sd       	18.34     	          
Ia        	 Im       	17.73     	          
Ib/c      	 S        	19.63     	          
Ia        	 S        	18.58     	          
II        	 Sb       	17.43     	          
Ia        	 Sab      	17.29     	          
Ia        	 S        	17.86     	          
II        	 Im       	18.13     	          
Ia        	 S0/a     	17.45     	          
Ia        	 Sc       	17.97     	          
II        	 Sc       	16.94     	B         
Ia        	 E        	16.88     	          
Ib/c      	 S        	20.00     	          
II        	 S        	18.17     	          
II        	 Sb       	15.08     	B         
II        	 Sb       	16.03     	B         
II        	 S pec    	16.59     	          
Ia        	 Sb       	16.00     	          
II        	 S        	18.05     	          
Ia        	 Sbc      	16.57     	          
Ia        	 S0       	15.02     	          
Ia        	 Sc       	14.64     	B         
II        	 Sc       	16.10     	          
Ia        	 Sc       	14.70     	          
Ia        	 Sab      	15.54     	          
II        	 Sb       	16.96     	          
Ib/c      	 Sb       	16.32     	B         
II        	 Scd      	17.00     	          
II        	 S        	18.05     	          
II        	 Sbc      	13.48     	          
Ia        	 E        	15.22     	          
Ia        	 S        	19.01     	          
Ia        	 Sc       	17.32     	          
II        	 Sb       	16.47     	          
II        	 Sb       	17.43     	          
Ia        	 S        	18.64     	          
Ia        	 S        	18.88     	          
II        	 S        	16.73     	          
Ia        	 S0/a     	11.24     	          
Ib/c      	 Sbc      	15.68     	          
II        	 S        	18.05     	          
II        	 Sbc      	17.43     	          
Ia        	 Sbc      	17.06     	          
Ia        	 S        	17.73     	          
Ia        	 Sbc      	17.64     	B         
II        	 Sbc      	13.51     	          
II        	 S        	18.37     	          
Ib/c      	 Sbc      	14.15     	          
II        	 Sbc      	15.80     	          
Ia        	 S        	17.63     	          
Ia        	 S0       	14.02     	B         
Ia        	 Sbc      	16.46     	          
II        	 Sdm      	16.09     	B         
Ib/c      	 S        	16.98     	          
Ia        	 S        	17.26     	          
II        	 Sb       	16.48     	          
Ia        	 S        	18.11     	          
Ia        	 Sab      	18.61     	B         
Ia        	 S        	17.93     	          
Ic        	 S        	18.15     	          
Ia        	 Sbc      	17.87     	          
II        	 Sc       	16.04     	          
II        	 Sc       	14.10     	          
Ia        	 S        	16.06     	          
Ia        	 Sab      	14.59     	          
II        	 S        	17.92     	          
Ia        	 S        	17.77     	          
Ia        	 Sbc      	18.44     	B         
Ia        	 E/S0     	15.28     	          
Ia        	 S        	21.31     	          
II        	 S        	19.72     	          
Ia        	 S        	19.49     	          
Ia        	 S        	17.86     	          
Ia        	 S        	19.80     	          
Ia        	 Sd       	15.78     	B         
Ia        	 S        	17.84     	          
Ib/c      	 Sa       	13.77     	          
Ia        	 Sbc      	14.41     	B         
Ia        	 Sb       	19.05     	B         
II        	 Sb       	16.75     	          
II        	 Sb       	16.46     	          
II        	 Sbc      	17.48     	          
II        	 Sb       	14.87     	          
Ia        	 S        	17.93     	          
Ia        	 Sc       	12.33     	          
Ia        	 E        	15.56     	          
Ia        	 S        	18.52     	B         
II        	 Sc pec   	16.88     	          
Ia        	 S        	19.80     	          
Ia        	 S        	18.25     	          
Ia        	 S        	17.53     	          
II        	 S pec    	15.33     	          
Ia        	 Sbc      	13.85     	          
Ia        	 S        	18.84     	          
II        	 Sc       	16.02     	          
Ia        	 S        	19.42     	          
Ia        	 S        	19.30     	          
Ia        	 S        	18.58     	          
Ia        	 E        	18.32     	          
Ia        	 S        	17.83     	          
Ia        	 Sbc      	16.87     	          
Ia        	 S        	19.72     	          
Ia        	 Sc       	14.30     	B         
Ib        	 Sab      	17.80     	          
Ia        	 S        	19.49     	          
Ia        	 E        	14.48     	          
Ia        	 Sc       	14.16     	B         
Ia        	 S0/a     	16.33     	          
Ia        	 S        	18.52     	          
Ia        	 E/S0     	16.95     	          
Ia        	 Sb       	18.92     	          
Ia        	 S        	18.34     	          
Ia        	 S        	19.25     	          
Ia        	 S        	18.67     	          
Ia        	 S        	18.30     	          
Ia        	 S        	17.87     	          
Ia        	 Sbc      	17.36     	          
II        	 Sc       	17.25     	B         
Ia        	 S        	17.73     	          
Ia        	 S        	17.87     	          
II        	 S        	18.58     	          
Ib        	 Sb       	17.59     	          
Ia        	 Sa       	14.01     	          
Ia        	 S        	17.65     	          
Ia        	 S        	17.60     	          
Ia        	 Sb       	17.22     	B         
Ia        	 S        	18.96     	          
Ia        	 Sb       	16.47     	B         
Ic        	 Sbc      	14.11     	          
Ia        	 Sbc      	14.38     	          
Ia        	 S0/a     	13.77     	          
Ia        	 S        	18.04     	          
Ia        	 S        	18.15     	          
Ib/c      	 Sc       	14.97     	          
Ia        	 S0/a     	14.93     	          
Ia        	 Sbc      	13.66     	          
Ia        	 S        	18.49     	          
Ia        	 Sbc      	14.18     	          
II        	 Sb       	17.48     	          
II        	 Sbc      	17.08     	          
II        	 Sbc      	14.07     	B         
Ia        	 S        	19.05     	          
II        	 Sb       	17.40     	          
Ia        	 Sa       	15.88     	B         
Ib        	 Sc       	12.58     	          
Ia        	 S0       	17.08     	          
II        	 Sc       	14.83     	          
Ia        	 Sc       	18.61     	          
Ia        	 S        	17.59     	          
Ia        	 S0       	13.62     	          
Ia        	 S0/a     	15.60     	          
Ia        	 E/S0     	14.35     	          
II        	 Sd       	13.64     	B         
II        	 S0/a     	15.28     	          
Ic        	 Sbc      	14.14     	          
Ic        	 Sd       	14.93     	B         
Ia        	 Sb       	15.51     	B         
Ia        	 E        	13.47     	          
II        	 Sbc      	12.16     	B         
Ia        	 Sab      	12.52     	          
II        	 Sdm      	16.32     	B         
II        	 Scd      	14.14     	B         
II        	 Sb       	13.96     	B         
Ib        	 Sc       	13.90     	          
Ia        	 Sb       	17.12     	          
Ia        	 S        	18.05     	B         
II        	 Sc       	13.21     	          
Ia        	 S0       	14.81     	          
Ia        	 Sb       	13.88     	B         
Ia        	 Sdm      	16.77     	B         
Ib        	 Sc       	12.58     	          
Ia        	 S0       	12.33     	          
Ia        	 Sc       	16.52     	          
Ic        	 Sbc pec  	14.22     	B         
Ia        	 Sbc      	14.17     	B         
Ia        	 S0/a     	14.28     	          
Ic        	 Sb       	13.72     	B         
II        	 Im       	15.41     	          
Ia        	 S0       	14.24     	          
Ia        	 Sab      	12.58     	          
Ia        	 S0       	13.41     	          
Ia        	 Sbc      	14.21     	B         
II        	 Sbc      	15.48     	          
Ia        	 Sd       	15.45     	          
Ia        	 Sb pec   	14.36     	          
II        	 Scd      	14.17     	          
Ic        	 Sc       	13.98     	B         
Ia        	 S0/a     	13.59     	B         
Ia        	 Sbc      	14.02     	B         
Ia        	 E/S0     	13.56     	          
Ia        	 E/S0     	13.70     	          
Ia        	 S        	18.34     	          
Ib/c      	 S        	17.33     	          
Ic        	 Sd       	15.75     	          
Ib/c      	 Sb       	16.45     	B         
II        	 Sc       	17.19     	          
II        	 Sd       	15.11     	          
II        	 Sd       	14.55     	B         
Ic        	 Sbc      	13.26     	B         
Ia        	 E        	14.55     	          
Ia        	 Sbc      	17.90     	          
II        	 S        	16.75     	          
Ia        	 S        	17.76     	          
Ia        	 E        	16.76     	          
II        	 Sc       	11.58     	          
Ia        	 S        	19.10     	          
Ic        	 Sc       	14.28     	          
Ia        	 Sb       	14.13     	          
Ia        	 Sc       	14.86     	          
Ic        	 Sb       	12.92     	          
Ia        	 S0/a     	16.75     	          
Ib        	 Sbc      	14.21     	B         
Ia        	 S0       	12.79     	          
Ia        	 S        	17.64     	          
II        	 Sc       	13.04     	          
Ia        	 E/S0     	14.18     	          
II        	 Sc       	12.11     	B         
Ia        	 S0/a     	10.74     	          
II        	 Sc       	15.82     	          
Ia        	 Sbc      	16.18     	B         
Ia        	 S        	17.80     	          
Ia        	 Sbc      	14.50     	B         
II        	 Sd       	13.46     	B         
Ia        	 Sc       	14.31     	          
Ia        	 E        	13.90     	          
Ia        	 Sab      	12.90     	B         
II        	 Sc       	12.38     	          
Ia        	 S        	17.87     	          
II        	 Sc       	14.04     	          
Ia        	 Sab      	18.96     	          
Ia        	 S        	19.14     	          
Ic        	 Sbc      	17.29     	          
II        	 S        	18.61     	          
II        	 Sb       	16.17     	          
II        	 Sb       	16.40     	B         
Ia        	 Sc       	15.33     	          
Ia        	 S        	19.01     	          
Ia        	 S        	19.42     	          
Ia        	 S        	17.72     	          
Ia        	 S        	18.19     	          
Ia        	 S        	19.45     	          
II        	 S        	19.30     	          
II        	 Sbc      	16.33     	          
Ia        	 Sa       	13.25     	          
Ia        	 Sab      	16.71     	B         
Ia        	 S0/a     	14.51     	          
II        	 Sbc      	11.00     	          
Ia        	 Sab      	15.54     	B         
Ia        	 S0       	14.09     	          
Ia        	 S0/a     	16.76     	          
Ia        	 S0       	17.05     	          
Ic        	 Sbc      	10.79     	          
Ia        	 Sc       	14.91     	B         
Ia        	 E        	13.18     	          
Ia        	 S0       	14.37     	          
Ib        	 Sdm      	17.66     	          
Ia        	 E        	13.01     	          
Ia        	 S        	17.81     	B         
Ia        	 Sc       	15.90     	          
Ia        	 Sb       	16.61     	          
Ia        	 S        	17.62     	          
II        	 S0       	16.56     	          
Ia        	 Sbc      	13.21     	          
Ia        	 E        	13.14     	          
Ia        	 E/S0     	16.25     	          
Ia        	 E/S0     	12.76     	          
II        	 Sc       	15.28     	          
Ia        	 S0 pec   	13.32     	          
Ia        	 S        	17.58     	          
Ia        	 S        	19.63     	          
II        	 Sc       	10.92     	          
Ib        	 Scd      	13.60     	          
Ia        	 E/S0     	15.36     	          
Ia        	 S0/a     	14.67     	B         
Ia        	 E        	13.90     	          
II        	 Sbc      	14.28     	          
Ia        	 E/S0     	14.58     	          
Ia        	 E        	13.73     	          
Ia        	 S0/a     	14.21     	B         
Ia        	 Im       	18.77     	          
Ia        	 Sb       	16.11     	B         
Ia        	 E        	18.27     	          
Ic        	 Sab      	14.48     	          
Ia        	 Sc       	13.84     	          
Ia        	 S        	15.89     	          
Ia        	 Sa       	12.74     	B         
Ia        	 Scd      	12.33     	          
II        	 Sbc      	14.53     	          
Ia        	 S0       	15.63     	B         
II        	 Sd       	16.38     	          
Ib        	 Sc       	11.21     	B         
Ia        	 Sb       	16.39     	          
II        	 Sbc      	13.70     	B         
II        	 Sbc      	14.56     	          
Ia        	 S        	20.11     	          
Ia        	 Sa       	14.83     	B         
Ia        	 Sc       	14.09     	          
II        	 S        	17.57     	          
Ia        	 E        	15.98     	          
Ia        	 S        	17.80     	          
Ic        	 Sb       	14.00     	          
Ia        	 S        	17.54     	          
II        	 Scd      	11.34     	          
Ia        	 Sb       	18.40     	          
Ia        	 Sd       	20.16     	          
Ia        	 S0       	16.92     	B         
Ia        	 Sd       	13.99     	          
Ia        	 S        	21.17     	          
Ia        	 S        	19.28     	          
Ia        	 Sab      	18.02     	B         
Ia        	 Sc       	14.04     	B         
Ia        	 Sc       	13.51     	          
Ia        	 S        	16.90     	          
Ic        	 Sb       	16.67     	          
Ia        	 Sc       	13.67     	B         
II        	 Sdm      	18.96     	          
Ia        	 S        	19.01     	B         
Ic        	 S        	20.20     	          
Ia        	 E        	17.79     	          
Ic        	 Sbc pec  	15.07     	          
Ia        	 S0       	13.96     	          
Ia        	 Sbc      	14.64     	          
Ia        	 Sb       	16.91     	          
Ib/c      	 Sc       	14.15     	B         
II        	 Sc       	14.91     	          
Ia        	 Sbc      	16.05     	          
Ia        	 Sa       	13.55     	B         
II        	 S        	18.20     	          
Ia        	 S        	18.96     	          
Ic        	 S        	19.11     	          
Ia        	 Sb       	18.13     	          
Ia        	 E/S0     	14.73     	          
II        	 Sb       	13.50     	B         
II        	 Sa       	14.66     	B         
Ib        	 Sd       	18.63     	          
Ia        	 S0       	15.63     	B         
Ia        	 Im       	19.35     	          
II        	 Sbc      	14.56     	          
Ia        	 Sc       	14.79     	          
Ia        	 E/S0     	15.58     	          
Ic        	 Sbc      	12.95     	          
Ia        	 E        	12.66     	          
Ia        	 Sb       	17.68     	B         
Ia        	 Sb       	10.64     	          
Ia        	 Sbc      	14.48     	          
II        	 Sc       	15.86     	B         
Ic        	 Sbc      	15.11     	          
II        	 Sbc      	16.62     	          
Ia        	 Sbc      	15.48     	          
Ia        	 S        	20.99     	          
II        	 Sbc      	13.69     	B         
Ia        	 Sc       	11.97     	          
Ia        	 Sb       	15.94     	B         
Ia        	 Sdm      	15.31     	          
Ic        	 Sbc      	14.16     	          
Ia        	 Sbc      	15.37     	          
Ia        	 Sc       	18.51     	B         
Ia        	 S pec    	13.27     	          
II        	 Sb       	14.72     	          
Ib/c      	 Sb       	13.98     	          
II        	 Sbc      	15.10     	          
Ia        	 S        	18.96     	          
Ia        	 Sa       	13.81     	          
Ia        	 Sbc      	15.26     	B         
II        	 S        	14.27     	          
Ia        	 S0/a     	17.14     	          
II        	 Sb       	15.38     	          
Ia        	 Sb       	14.19     	          
II        	 Im       	16.61     	          
II        	 Sc       	13.20     	B         
Ib        	 Sbc      	14.28     	          
Ib        	 Sa       	14.49     	B         
Ia        	 Sab      	13.95     	B         
Ia        	 Sab pec  	15.83     	          
Ic        	 Sm       	13.66     	          
Ia        	 Sa       	17.09     	          
Ic        	 Sbc      	13.91     	          
Ib/c      	 Sb       	14.66     	          
Ia        	 Sb       	15.04     	B         
Ia        	 Sbc      	14.51     	          
Ia        	 E        	14.48     	          
Ia        	 S0       	14.18     	          
Ic        	 Sb       	14.39     	B         
II        	 Im       	18.37     	          
Ib        	 Sc       	13.61     	          
Ia        	 E/S0     	15.28     	          
Ia        	 Sa       	15.40     	          
Ia        	 S0/a     	15.26     	B         
Ia        	 S0       	18.61     	          
Ia        	 Sb       	15.53     	B         
Ia        	 S        	21.05     	          
Ia        	 Sbc      	17.86     	          
Ia        	 Im       	19.48     	          
Ia        	 Sbc      	15.32     	          
II        	 Sb       	14.40     	          
Ia        	 Sc       	14.93     	          
Ia        	 S0/a     	14.68     	          
Ia        	 Sbc      	16.83     	          
Ia        	 Sd       	14.07     	B         
II        	 Sbc      	15.05     	          
Ia        	 Sbc      	13.85     	          
Ia        	 Sbc      	14.55     	          
Ia        	 Sc       	14.28     	          
Ia        	 Sbc      	15.45     	B         
Ib/c      	 Sc       	15.35     	          
Ic        	 Scd      	15.26     	          
II        	 Sbc      	14.45     	          
Ia        	 Sc       	13.82     	          
II        	 Sbc      	14.27     	          
II        	 Sc       	14.83     	          
Ia        	 Sbc      	14.00     	          
Ia        	 E/S0     	17.23     	          
II        	 Sb       	14.08     	B         
Ia        	 E/S0     	14.42     	          
II        	 Sb       	15.23     	          
