#RA	DEC	SNtype	Galtype2
329.08083	 73.25378	II       	S        
  4.79583	 15.10697	II       	S        
359.63775	 10.72331	II       	S        
 41.45346	  3.23058	Ia       	S        
147.73321	 33.55261	Ia       	S        
 11.95604	 29.95744	Ia       	S0       
  4.07350	 12.41483	Ic       	S        
147.93125	 40.31406	II       	S        
145.22829	  5.14072	Ia       	S0       
136.23917	 59.93297	Ic       	S        
 70.93425	 -5.31494	IIn      	S        
166.73092	  7.17211	II       	S        
200.24938	  3.59894	II       	S        
201.82642	 32.03131	Ia       	S        
211.80971	 -2.72575	Ia       	S        
208.38583	 -1.19172	Ia       	S        
336.80171	 -9.49567	Ia       	S        
 41.61154	 -0.49878	II       	S        
 17.74833	 33.14464	Ia       	E        
 20.90979	 32.63142	II       	S        
 77.69625	 -3.00694	II       	S        
214.60588	 36.49408	Ia       	S0       
230.28479	 27.92689	Ia       	S        
186.04683	  1.40408	Ia       	S0       
223.49921	  3.52944	IIn      	S        
 41.50346	 -7.57231	II       	S        
215.59467	 -0.38994	Ic       	S        
 22.96833	 -2.21750	Ia       	S        
185.98583	 48.77833	II       	S        
 33.06413	  1.46358	Ia       	S        
 13.21825	 -0.07531	II       	S        
206.74158	 60.97025	Ia       	S0       
  9.07488	 11.39458	Ia       	S        
 93.95408	 64.42911	Ia       	S        
 27.09525	 11.52086	Ia       	S        
102.99125	 16.29561	Ia       	E        
 25.93546	  4.22194	II       	S        
207.70250	 49.31864	Ia       	S        
217.86854	 49.96217	II       	S        
119.33638	 11.20658	Ib/c     	S        
241.50000	 18.19667	Ia       	S        
208.21921	  2.80839	Ia       	S        
170.38013	  2.81122	Ia       	S        
 72.97333	 -4.96000	II       	S        
147.75167	 20.07333	IIn      	S        
124.75917	 21.18381	II       	S        
184.96942	  7.73047	II       	Im       
170.60608	  1.18931	Ia       	S        
201.00492	  9.70636	II       	S        
247.46192	 39.75564	IIn      	S        
228.41575	  2.89569	IIn      	S        
151.40596	 80.29100	II       	S        
329.08554	 73.24706	II       	S        
352.11838	 22.42306	Ib       	S        
355.05921	 26.20328	Ia       	S        
336.04796	 -3.48625	II       	S        
345.01221	 15.98081	Ia       	S        
117.15708	 52.22300	Ia       	E/S0     
 43.25063	 -3.61058	II       	S        
197.90304	 22.92483	IIn      	S        
178.74992	 58.49067	Ic       	S        
 25.93533	  4.22142	II       	S        
192.05950	 -3.33292	Ib/c     	S        
191.38083	 54.73806	Ia       	S        
186.38604	  7.64972	Ia       	S        
179.10779	 55.12867	Ia       	S        
143.74525	 21.71597	II       	S        
116.51205	 18.71672	Ia       	S0       
140.37704	 64.24039	II       	Im       
110.89429	 41.43450	II       	S        
202.33046	 17.04511	Ib       	S        
161.26733	 39.42014	Ia       	S        
184.57554	 20.74057	Ia       	S        
190.25467	 -6.66339	Ia       	S0       
206.05404	  3.01119	Ia       	S        
173.97667	 70.53617	Ia       	S        
247.66342	 41.21511	Ia       	S        
237.79863	 21.94333	IIn      	S        
348.66796	  4.53725	Ia       	S        
 30.27883	 -6.81800	Ia       	S0       
  3.63400	 -0.73636	Ia       	S        
 15.36283	 -7.61019	II       	S        
 15.86196	 32.23678	Ia       	S        
339.87621	  8.60572	Ia       	S        
349.99029	 16.05542	Ia       	S        
322.50279	 26.72261	Ic       	S        
 44.80254	  3.49417	Ia       	E        
168.65429	 30.31436	II       	S        
176.52546	 47.48217	IIn      	S        
114.23721	 35.24333	II       	S        
226.98033	 54.76111	II       	S        
156.25267	 53.87694	II       	S        
126.04533	 12.11628	Ia       	S        
180.29404	 14.10308	II       	S        
127.44775	  4.62736	II       	S        
155.79708	 17.98500	Ia       	S0       
221.18275	 58.92842	II       	S        
154.83071	 -2.82750	Ia       	S        
125.91083	 18.30567	Ia       	S        
181.03042	 62.50033	II       	S        
163.69571	 61.28889	Ia       	S        
257.90738	 72.42097	Ia       	S        
174.92708	 31.90808	Ic       	S        
260.66971	 60.00358	Ia       	S        
285.42246	 40.74778	II       	S        
246.45171	 40.34233	Ia       	S        
240.67513	 37.35956	Ia       	S        
170.42871	 20.15669	II       	S        
203.37379	 33.05636	Ia       	S        
187.98338	 14.42647	Ia       	S        
227.82992	 61.11983	Ia       	S        
226.69275	 12.85264	Ic       	S        
  5.00608	 -6.33433	Ia       	S        
263.84567	 60.81369	Ia       	E        
227.23550	 52.44808	II       	S        
227.86838	 13.48492	Ia       	E        
 32.77529	  3.85192	II       	S        
 29.97858	 23.63964	Ib       	S        
 22.86217	 14.28492	Ia       	S        
343.37446	 31.64525	Ia       	S        
 25.93938	  4.22386	IIn      	S        
 14.69250	 12.74583	Ia       	S        
 20.73908	 33.46611	Ia       	S        
 19.84458	 -3.60550	II       	S        
 41.77867	 -2.96219	II       	S        
 38.18083	 22.45222	Ia       	E/S0     
 70.93138	 -5.32217	II       	S        
184.95083	 29.62269	II       	S        
171.57358	 46.97575	II       	S        
122.55708	 33.95828	IIn      	S        
129.60254	 25.75919	Ia       	S        
 14.18233	 -9.91194	II       	S        
153.40417	 -0.93600	Ia       	E        
 51.99517	 39.90528	II       	S        
157.33000	 26.10561	Ia       	S        
190.96629	 -0.54872	II       	S        
 14.41696	 43.79322	II       	S        
188.45133	 15.18006	II       	S        
