#RA	DEC	SNtype	Galtype2
185.57171	 12.39703	Ia       	S        
 28.42733	 29.93453	II       	S        
 38.65238	  1.34811	II       	S        
238.51383	 23.13608	Ia       	S0       
216.90258	 41.25417	II       	S        
341.19354	 33.46044	II       	S        
  2.39458	 12.75594	II       	Im       
354.65950	  5.43808	II       	S        
 39.80975	  1.09861	Ib/c     	S0       
 13.71225	 29.24633	II       	S        
359.48263	 32.63581	II       	Im       
 14.59529	  0.67900	Ia       	S        
329.19850	  0.31750	Ia       	S        
 46.45400	 36.76961	Ic       	S        
119.80254	 32.91681	II       	S        
119.80808	 32.92214	Ic       	S        
 47.20546	 -7.03325	Ia       	S        
351.44842	  8.03814	II       	S        
 25.46350	 -0.87639	Ia       	S        
136.22367	 13.56564	Ia       	S0       
 24.90033	 -0.75875	Ia       	S        
 45.32308	 -0.64408	Ia       	S        
337.67254	 -0.77661	Ia       	S        
339.01750	 -0.37522	Ia       	S        
349.37379	  0.42939	Ia       	S        
 46.34346	  0.85836	Ia       	S        
206.13663	  4.77897	Ia       	S        
 16.93233	 -1.03950	Ia       	S        
 19.05242	  0.79194	Ia       	S        
312.65146	 -0.35411	Ia       	S        
 13.96950	  0.50494	II       	S        
 12.45842	 32.28244	IIn      	S        
 55.66375	 -6.38444	II       	S        
316.33621	 -7.84653	II       	S        
 32.41050	-10.14544	II       	S0       
 29.19975	 -0.21367	Ia       	S        
339.93933	 34.37861	II       	S        
 21.77488	 19.11681	Ia       	S        
313.83246	  0.54297	Ib       	S        
 14.85042	  0.00261	Ia       	S        
212.51192	 17.72289	II       	S        
 52.55363	 -0.97458	Ia       	S        
 46.08858	 -1.06294	Ia       	S        
143.02675	  8.44567	II       	S        
 19.18233	  0.79456	Ia       	S        
305.06500	  0.21739	Ia       	S        
179.61892	 10.01922	II       	S        
 38.86092	  1.07489	Ia       	S        
 23.67300	 -0.60536	Ia       	S0       
 39.11683	  0.51128	Ia       	S        
144.01796	 16.76300	II       	S        
 12.71117	  0.85361	II       	S        
338.53058	  5.56842	Ia       	S        
116.86046	 26.92567	Ic       	S        
150.35588	 15.78039	II       	S        
160.11758	  9.20233	Ia       	E/S0     
159.91675	 25.32364	II       	S        
186.14867	 39.38431	Ic       	S        
170.20300	 32.29033	Ia       	S        
318.88521	 -0.35533	Ia       	S        
 17.74188	  0.27614	Ia       	S        
344.92754	 -0.01369	Ia       	S        
128.54646	  6.27636	Ia       	S        
144.02521	 24.40383	Ia       	S        
 36.15104	 -4.18192	Ia       	S        
343.70854	 -0.25250	II       	S        
 45.54658	 -1.16650	II       	S        
 29.42929	 -0.17944	Ia       	S        
329.95596	 -1.19369	Ia       	S        
 43.56654	 42.72494	Ia       	S        
175.60921	 20.11806	Ia       	S        
 20.87017	 30.77936	IIn      	S        
144.38483	 23.20075	Ia       	S        
196.46858	 41.71639	II       	S        
126.77650	 21.64600	Ia       	S0       
137.17638	 44.81428	Ic       	S        
  4.18421	  7.07217	II       	S        
 57.32683	 -0.69206	Ib       	S        
132.30975	 36.12997	Ia       	S        
325.03417	 10.65389	II       	S        
183.40671	 16.12117	Ic       	S        
160.57633	 -0.37811	Ib       	S        
168.73671	 33.82658	IIn      	S        
212.12017	  7.05756	Ia       	S        
216.57183	 26.24661	II       	S        
 27.69063	 21.75989	Ia       	S        
 24.40538	  0.04161	II       	S        
161.28825	 22.07731	II       	S        
178.33288	 20.75506	IIn      	S        
190.43692	 35.06864	Ia       	S        
136.92963	 12.05181	II       	S        
222.09696	 21.79764	Ia       	S        
158.48825	 20.34047	Ia       	S0       
180.07133	 28.60611	IIn      	Im       
216.90517	 41.25983	IIn      	S        
177.08121	 38.74667	II       	S        
159.37813	 65.01614	Ia       	S        
198.17129	 63.27928	II       	Im       
183.06117	 56.17939	Ia       	S        
350.29075	 33.40033	Ia       	S        
128.37954	 41.51781	Ia       	S0       
174.61858	 20.52622	Ia       	E/S0     
236.41250	 28.08867	II       	S        
185.57983	  7.62369	II       	S        
226.14004	 35.96419	Ia       	E/S0     
234.96092	 14.18925	II       	S        
169.58921	 28.21208	Ia       	S        
279.99533	 39.98244	Ia       	E/S0     
202.50750	 13.41578	Ia       	S        
239.12721	 20.04600	Ia       	S0       
208.19921	  5.31372	Ia       	S        
218.48638	  3.79883	Ia       	S0       
151.30900	 21.47556	II       	S        
201.53800	 35.93278	II       	S        
195.18075	 27.96161	Ia       	S0       
180.63542	 41.04450	II       	S        
242.48529	 43.12664	Ia       	S        
163.51075	 46.02675	Ia       	S        
196.25967	 28.74000	Ia       	S0       
356.77550	 29.48072	Ia       	S        
194.85175	 28.34769	Ia       	S        
197.41842	 -1.04922	Ic       	S        
184.81204	 22.42728	Ia       	S        
201.10458	 30.95631	Ia       	S        
196.80213	 58.13503	II       	S        
206.39121	 35.61017	Ia       	S0       
182.48763	 47.09553	Ia       	S0       
221.93046	  9.65942	IIn      	S        
225.75421	 21.69461	II       	S        
338.98521	 20.32142	II       	S        
197.00513	 26.11639	IIn      	S        
351.95238	 14.47417	Ia       	S0       
178.91121	 44.38372	IIn      	S        
356.47658	 12.06639	Ic       	S        
205.42950	 40.87689	Ia       	S        
182.89313	 57.74064	II       	S        
 15.16183	 -7.98036	II       	S        
218.92963	  8.29883	Ia       	S        
348.97108	  5.13061	Ia       	S        
244.43038	 34.96531	Ia       	S        
215.54771	 13.92061	Ia       	S        
208.36938	  5.20633	Ia       	S0       
339.90796	 11.77111	Ib       	S        
 18.42125	 -0.10178	Ia       	S        
225.96100	 42.11347	II       	S        
 29.89750	 14.00544	II       	S0       
 31.08129	 -8.72839	Ia       	S0       
 42.54979	 47.05569	IIn      	S        
  9.74904	 -9.01572	Ia       	S0       
331.28846	 26.60872	II       	S        
 10.35367	 25.49631	Ib       	S        
322.15471	  1.22811	Ia       	S        
  5.40642	 -1.00997	Ia       	S        
 55.60200	 39.24194	Ia       	S        
309.68275	 -0.47453	Ia       	S        
323.45525	 -1.01594	II       	S        
323.69421	  1.17592	Ia       	S        
309.47188	  1.22114	Ia       	S        
313.03817	 -0.51111	Ia       	S        
  6.64850	 -0.30208	Ia       	S        
 27.39546	 -0.64989	Ia       	S        
 38.16204	  0.61750	Ic       	S        
317.49583	  0.40878	Ia       	S        
351.66746	 -0.84025	Ia       	S        
  4.17229	 -0.42453	Ia       	S        
 11.60146	  0.00347	Ia       	S0       
 26.30225	  0.35644	II       	S        
338.09446	 30.82869	Ia       	S        
179.03542	 55.39161	II       	S        
 14.07208	 -1.62944	Ia       	S        
 49.36275	 41.40542	IIn      	S0       
 51.50621	 40.69514	Ia       	S        
344.64292	 15.17383	Ia       	S        
331.10046	  0.69122	Ia       	S        
 40.61238	 -0.79414	Ia       	S        
  8.36688	 -0.32025	II       	S        
354.94646	  0.20522	Ia       	S        
 27.56479	 -0.88725	Ia       	S        
 18.48879	  0.37167	Ia       	S        
 31.82992	  1.25208	Ia       	S        
332.26329	 17.84136	II       	S        
343.77229	 21.10064	Ia       	Im       
 62.58788	 13.47344	Ia       	S        
  8.09158	  5.89956	II       	S        
  2.79004	 29.90842	II       	S        
 21.52638	 -5.73250	Ia       	S        
 10.15896	 -3.11336	Ia       	S        
357.13200	 -2.14925	Ib/c     	S        
324.89063	 10.48486	Ia       	S        
346.14867	  7.60597	Ib/c     	S        
 99.17138	 37.60139	II       	S        
350.33117	  0.25975	II       	S        
359.80846	 -0.31103	II       	S        
  5.08396	  7.70194	II       	S        
  0.15646	 28.38414	II       	S        
120.53096	  0.80875	IIn      	S        
 20.81133	 -0.32964	Ib       	S        
314.23425	 -0.27906	Ia       	S        
351.16254	 -0.71833	Ia       	S        
 35.84292	  0.81900	Ia       	S        
  2.85333	  0.70272	Ia       	S        
 55.46033	  8.15694	Ia       	S0       
314.52175	  0.90047	II       	S        
341.10200	 -0.16486	Ib/c     	S        
  8.86588	  2.93075	Ib       	S        
 34.24954	 30.69928	Ib       	Im       
173.01375	 36.70100	Ib/c     	S        
 32.14029	 -3.95358	Ia       	S        
201.83233	 31.78736	IIn      	S        
 11.66063	 36.33272	Ia       	S        
 14.87967	 -0.25653	Ia       	S        
341.24608	 -1.00661	Ia       	S        
 18.40767	  0.42386	Ia       	S        
 26.42092	 -1.05439	Ia       	S        
 46.66450	  0.06403	Ia       	S        
 31.10008	  9.67728	II       	S        
 14.12171	 -1.22669	Ia       	S        
 15.33629	 31.50261	II       	S        
 27.95046	  0.26342	Ia       	S        
352.02996	  0.85636	Ia       	S        
320.38275	  0.99331	Ia       	S        
176.00029	 19.97731	Ia       	S0       
177.01446	 30.35667	Ia       	S        
174.30458	 15.43536	Ia       	S        
113.90600	 66.41389	Ia       	S        
 26.04408	 -0.15589	II       	S        
328.70950	  0.93367	Ia       	E/S0     
305.81321	 -0.84850	Ia       	S        
 23.56121	 -0.40364	Ia       	S        
340.42521	 -0.13692	Ia       	S        
336.38492	  0.15419	Ic       	S        
 27.13479	 18.20544	Ia       	S        
 47.19533	 18.94056	Ia       	S        
245.83675	 37.26383	Ia       	S        
  5.57608	 27.88886	IIn      	S        
349.80842	  4.99444	Ia       	S        
 25.41275	  6.32247	Ia       	S        
353.13325	  8.90481	Ia       	S        
349.01817	 -8.18394	Ia       	S        
130.84525	 -3.57117	II       	S        
 37.45917	 23.09264	II       	S        
114.96292	 34.95931	II       	S0       
 56.52825	  0.38975	Ia       	Im       
191.41292	 35.08678	Ia       	S        
  0.89592	 23.19617	Ia       	S        
179.67071	 27.46044	II       	S        
191.73700	 36.53383	Ia       	S        
122.92913	 41.55467	Ia       	S        
172.87504	 -2.29783	II       	S        
206.24196	 26.30714	Ia       	S        
  6.31942	 12.88681	Ia       	S        
180.11538	 -1.08100	II       	S        
251.75983	 40.14656	II       	S        
261.10242	 44.93775	II       	S        
215.58763	 -0.39378	Ia       	S        
150.39996	 21.61167	Ib       	S        
161.64008	 13.75258	II       	S        
179.68217	 27.45033	II       	S        
214.20725	 10.80669	Ia       	E        
239.09608	 16.51608	Ia       	S0       
200.25804	 58.55067	Ia       	S0       
158.67988	 11.19397	II       	S        
125.68025	 22.55469	Ia       	S0       
338.87958	 34.80183	Ia       	S0       
229.17763	  7.39661	Ia       	S        
169.81071	 20.80903	Ia       	S        
127.88867	 -1.19944	Ia       	S        
232.18992	 58.87022	Ia       	S        
171.25958	 -9.79828	Ia       	S        
161.12054	 23.83631	II       	S        
141.00229	  5.20694	II       	S        
216.94888	 12.81308	IIn      	S        
233.54529	  7.09686	II       	S        
165.67300	 -1.64208	II       	S        
236.18367	  4.47031	II       	S        
194.22404	 22.37281	Ia       	S        
230.78192	  8.52931	Ia       	S0       
176.44104	 19.77053	Ia       	E        
267.08829	 54.15144	Ic       	S        
190.68825	 55.14919	IIn      	S        
333.48246	 13.75664	Ia       	S        
190.55300	-17.40214	Ia       	S0       
333.66846	  5.08025	Ia       	S        
357.41250	 29.93114	Ia       	S        
241.50271	 55.42431	II       	S        
137.87533	  8.45783	Ia       	S        
208.20825	 20.49708	Ia       	S0       
211.91621	 19.46800	Ia       	S        
225.72967	  7.20156	Ia       	S        
159.04242	 34.54261	Ia       	S        
229.65329	  9.85478	II       	S        
243.51917	  8.92222	Ia       	S        
314.85708	  3.65347	Ia       	S        
210.21258	 22.95789	Ia       	S        
219.16117	 14.67061	II       	S        
320.51429	  5.15169	Ib       	S        
326.31775	 11.04683	Ia       	Im       
340.70408	 24.04644	Ib/c     	S        
327.38575	 19.02900	Ia       	S        
233.71825	  7.01489	II       	S        
221.94725	 16.83142	Ia       	S        
197.45975	 20.74500	Ia       	S        
210.57042	 13.10081	II       	Im       
212.54704	  8.31106	Ia       	S0       
230.77025	  8.78214	Ia       	S        
355.97963	 27.10675	II       	S        
244.68267	  3.04725	Ia       	E        
357.02471	 28.23894	Ib/c     	S        
242.67367	 15.29403	II       	S        
216.94321	  6.59339	II       	S        
 17.35100	 19.93094	II       	S        
  9.08188	  6.06122	II       	S        
340.02575	 24.69919	Ia       	S        
228.99638	  4.56758	II       	S        
  6.70788	 21.18036	Ia       	S        
352.37321	 10.53175	Ia       	S0       
195.81283	 50.61881	Ia       	S        
355.55700	 11.07458	II       	S        
359.21821	  5.50883	Ia       	S        
214.07929	 36.21703	Ia       	S        
216.48371	 46.44914	II       	S        
 21.04267	  9.01125	Ib/c     	S        
211.90279	 38.68036	II       	S        
 17.86008	 -2.68800	II       	S        
160.57588	 -0.37733	II       	S        
324.28642	  0.43717	Ia       	E        
307.62033	-13.25969	Ia       	S        
230.28808	  2.44064	IIn      	S        
313.98950	 -5.69858	Ia       	S        
221.95613	 29.50458	II       	S        
240.52254	 29.72633	II       	S        
340.65554	 28.31567	Ia       	S        
349.45296	 22.98531	Ia       	S        
 32.62950	  2.33314	II       	S        
180.34758	 61.89272	Ia       	S0       
 47.88838	 -0.74631	Ib/c     	S        
304.82842	  6.51981	II       	S        
333.00179	  7.53036	II       	S        
  4.10900	 -0.35256	Ia       	S        
343.42729	 12.09844	Ia       	S        
 24.77354	  6.24500	Ia       	S        
182.89417	 57.73775	II       	S        
357.80654	 11.42192	IIn      	S        
342.01029	 23.25494	II       	S        
 32.14200	 29.23719	Ib/c     	S        
  8.99171	 24.03706	II       	S        
251.74625	 38.93403	Ia       	S        
345.44954	 15.58650	Ia       	S0       
311.98817	 -5.40719	Ia       	S        
314.48113	 -7.39003	II       	S        
315.69521	 -4.09033	Ib/c     	S        
  8.64088	 -1.21753	Ia       	S        
 30.89650	  0.78619	II       	S        
 31.61283	 -0.89953	Ia       	S        
 54.92638	  1.09228	Ia       	S        
315.78729	 -1.02919	Ia       	S        
179.80479	 -1.60525	Ic       	S        
 55.79192	  0.10247	Ia       	S        
348.93567	  0.45711	II       	S        
 21.79063	 14.77958	II       	S        
 17.05700	 18.74083	Ia       	S        
251.81079	 40.24358	Ia       	S        
 21.33379	  8.90353	II       	S        
 44.97238	  1.16072	Ia       	S        
 52.46175	  0.05683	Ia       	S        
 54.00642	  1.10339	Ia       	E/S0     
322.32058	 -1.00319	Ia       	S        
328.91079	 -0.17675	IIn      	S        
341.88329	  0.41458	II       	S        
  2.99421	  0.99817	Ia       	S        
 30.63642	 -1.08917	Ia       	S        
300.63675	  0.37169	Ia       	S        
138.60921	 36.11456	IIn      	S        
141.49171	 34.63314	Ia       	S        
262.88233	 69.31114	Ia       	S        
  0.33158	 13.10850	Ib/c     	S        
 55.59692	 39.24178	Ia       	S        
316.09321	 -0.89800	Ia       	S        
 32.57017	 -0.26586	II       	S        
 16.54804	 -0.61414	II       	S        
 54.01904	 -0.20122	II       	S        
 10.96750	  0.79322	II       	S        
 12.28792	  0.59700	Ia       	S        
354.70171	 -6.52258	Ia       	S        
  4.18942	  1.20089	Ia       	E        
 18.26671	 -0.54000	Ia       	S        
 29.66721	 -0.24906	II       	S        
340.92088	  0.42136	Ia       	S        
 12.25142	 -0.32400	Ia       	S        
351.19992	  0.94456	Ia       	S        
  2.91363	 -0.47336	II       	S        
181.14238	 20.19172	Ia       	S        
 11.22396	 -0.99703	Ia       	S        
 20.48688	 -1.01328	II       	S        
 29.72975	 -1.02708	Ia       	S        
 46.64096	  0.79331	Ia       	S        
 50.88133	  0.66667	Ia       	S        
 16.44446	 -0.75883	Ia       	E        
 31.26650	  0.17456	Ia       	S        
319.14846	 -0.76989	Ia       	S        
  8.90571	  0.37003	Ia       	S        
192.25521	 -9.45283	Ia       	S        
  0.28875	  1.06847	Ib       	S        
 43.11438	  0.25183	Ia       	S        
 14.38988	 -1.38861	Ia       	E        
224.02158	 45.40469	Ia       	S        
348.10829	 13.91369	Ia       	S0       
 37.10113	  0.18467	Ia       	S        
 24.34875	 -0.31200	Ia       	E/S0     
358.58621	 -0.91761	Ia       	S        
 28.30150	 33.74278	Ia       	S        
 25.65971	  1.03042	Ia       	S        
 35.92788	 -0.82600	Ia       	S        
312.80583	 -0.95581	Ia       	S        
  5.68338	 -0.47900	Ia       	S        
 28.14133	  1.24408	Ia       	S        
 14.82804	 -0.94706	II       	S        
358.55408	 27.40928	Ia       	S        
 43.12179	 -1.13953	Ia       	S        
338.78296	 -1.11042	II       	S        
  6.92408	  1.23325	Ib       	S        
116.65638	 44.78947	Ia       	S        
353.59979	 -0.89033	Ia       	S        
 27.58417	 -0.40381	Ia       	S        
 28.49525	 -0.09267	Ia       	S        
 26.12071	  0.22978	Ia       	S        
165.64288	 50.58292	IIn      	S        
 51.42983	 41.24489	Ia       	S        
 67.79517	  7.63097	Ic       	S        
150.13025	  4.40728	Ia       	S        
165.79492	 56.22397	Ia       	S0       
342.24629	  1.20608	Ia       	S        
 29.96308	  1.21647	Ia       	S        
  2.66513	 -0.05283	Ib/c     	S        
181.17621	 49.18592	Ia       	S0       
190.27529	 50.39131	Ia       	S        
334.78700	 13.17786	Ia       	S        
183.40367	 46.49336	Ia       	S        
 17.53854	 -0.70222	II       	S        
 31.75096	 -5.10228	II       	S        
225.19054	 49.99008	II       	S        
 32.37250	 -3.59306	Ia       	S        
 37.06163	 -8.60894	II       	S        
152.33325	 14.99244	Ia       	S        
137.39700	 33.11922	Ib       	S        
156.77325	 -3.30142	Ia       	S0       
189.47263	 34.02667	II       	S        
178.43825	 48.42264	Ia       	S        
192.40479	 28.32958	Ia       	S        
224.86875	 16.65342	Ia       	S0       
162.95188	  3.77658	Ia       	S0       
164.41654	 37.66164	Ia       	E/S0     
203.27638	 33.14972	IIn      	S        
 47.35500	 80.13011	II       	S        
 41.53013	 -7.64272	II       	S0       
264.61742	 61.03714	Ic       	S        
 46.94442	 38.36839	Ic       	S        
186.15800	 10.83817	Ia       	S        
225.68188	 23.33550	IIn      	S        
181.01208	 20.24517	Ia       	E        
130.19229	 -4.11925	II       	S        
128.97246	  0.70642	Ia       	S        
177.94917	 46.87494	II       	S        
217.54925	 27.53489	II       	S        
195.74492	 10.50750	IIn      	S        
184.10592	 47.02792	II       	S        
118.82867	 53.32872	Ib       	S        
189.74058	 11.12950	Ia       	S        
187.82875	  8.38836	Ia       	S        
238.56313	 10.97361	IIn      	S        
309.72717	 -5.63678	II       	S        
242.76813	 52.45222	Ia       	S0       
330.60200	 18.32261	Ia       	S        
170.79542	 34.21417	Ia       	S        
137.37771	 33.13897	Ib       	S        
  3.66400	 -7.32319	Ia       	S0       
  8.79717	 23.25419	Ia       	S        
241.51296	 55.42706	Ic       	S        
332.71529	  2.10822	Ia       	S        
254.12733	 27.97589	Ia       	S0       
344.04933	  3.92650	Ic       	S        
210.23446	 41.00806	II       	Im       
195.05963	 27.95456	Ia       	S0       
345.81900	  8.87217	Ia       	S        
 14.13733	 -1.77111	Ia       	S0       
 27.90113	 19.10469	Ia       	S        
  6.99692	 30.76353	II       	S        
 13.80650	 35.44061	IIn      	S        
 10.46683	 32.99033	Ia       	S        
 19.41950	 43.64414	Ia       	S        
240.75871	 39.64561	II       	S        
254.62050	 20.04389	Ic       	S        
 42.92663	 42.83097	Ia       	S0       
 49.68375	 41.48256	Ia       	S        
 50.07767	 41.36222	Ia       	E/S0     
258.20775	 42.81439	Ia       	E/S0     
 38.52108	  1.39514	Ia       	S        
357.26463	 26.79425	IIn      	S        
245.45221	 37.06139	Ib/c     	S        
250.05192	 39.73217	Ic       	S        
 17.27396	 14.75469	Ib/c     	S        
 20.18346	 14.69361	II       	S        
146.13083	 55.75864	II       	S        
 41.00138	  5.42856	II       	S        
339.11904	 21.63203	Ic       	S        
 20.22842	  4.80531	Ia       	E        
348.55163	 -2.78122	IIn      	S        
341.18204	 -3.14753	Ia       	S        
 18.42288	  4.78833	II       	S        
 69.85921	  9.14211	Ia       	S        
 47.50400	 19.22308	Ia       	E        
171.26350	 -9.79750	II       	S        
  4.88008	 28.86250	Ia       	S        
 21.51521	 11.44069	Ic       	S        
  6.67917	 -3.59817	Ia       	S        
  1.00796	-11.16875	Ia       	S        
123.55938	 21.36053	Ic       	S        
139.71850	 18.95567	Ia       	S0       
141.09788	 28.29533	Ib       	S        
136.89192	  3.39225	Ia       	S0       
 10.82758	 42.17061	Ia       	S        
179.04025	 60.52542	II       	S        
194.45917	 36.37597	IIn      	S        
 49.31938	 41.38267	Ia       	E/S0     
184.98242	  5.33925	II       	S        
 21.23846	  9.55042	Ia       	S0       
209.95113	 40.38100	II       	S        
169.87738	 54.46283	Ia       	S        
145.81354	 36.28442	Ia       	S        
249.87029	 21.31544	Ia       	S        
 30.90154	 24.07803	II       	S        
227.89967	  5.39653	Ia       	S        
162.84196	  8.57853	Ia       	E        
185.69750	 65.85125	Ia       	S        
206.61117	 46.10242	II       	S        
215.98258	 35.18478	Ia       	S        
267.09571	 54.14853	II       	S        
175.47521	 10.42947	Ia       	S        
181.71529	 26.96017	Ia       	S        
186.20900	  8.43267	Ic       	S        
214.74450	 35.38781	II       	S        
213.93038	 16.19975	II       	S        
229.13125	 54.45983	II       	S        
196.83529	 35.78439	Ia       	S        
140.99733	 14.16425	Ia       	S        
186.57433	 48.44708	Ia       	S        
146.37692	  6.54028	Ia       	S        
186.14713	 47.23800	Ia       	S        
138.80304	 19.09619	Ia       	S        
176.70883	 11.79869	II       	S        
198.84646	 46.41928	II       	S        
138.75008	 29.73531	Ia       	S        
325.53000	 -6.77378	Ia       	S        
237.80050	 25.70778	Ia       	S0       
181.39208	 50.53850	II       	S        
188.74313	 50.85122	Ia       	S        
170.35542	 34.33981	Ia       	S0       
223.56446	 18.96467	Ia       	S0       
230.15867	  7.65903	Ia       	S0       
  8.68554	 -8.39933	Ic       	S        
221.59425	 13.02417	Ia       	S        
224.53329	  2.43425	IIn      	S        
208.04433	  2.32419	Ia       	E        
280.03458	 40.12681	Ia       	S0       
234.87433	 24.43481	Ib       	S        
247.17138	 39.55347	Ia       	E        
264.60863	 53.38353	Ia       	S        
251.67842	 75.25794	Ia       	S        
222.50050	 44.91828	Ia       	S        
231.95246	 41.59281	Ia       	S        
251.89504	 49.83344	II       	S0       
341.09958	 -0.16167	Ia       	S        
246.29208	 40.88911	Ia       	E        
274.79971	 42.80606	IIn      	S        
216.02513	  7.76953	Ia       	E/S0     
247.43425	 40.81161	Ia       	E/S0     
165.81683	-16.76936	II       	S        
213.90463	 14.28017	Ia       	S0       
333.72004	 17.51311	Ia       	S        
230.55675	 27.96703	Ia       	S        
 41.49317	 -7.58342	II       	S        
 39.24254	 -5.34533	Ib       	S        
342.60971	 10.91158	Ia       	E/S0     
245.55138	 57.27292	Ia       	S0       
350.98433	 16.77500	Ia       	E        
341.44200	 11.13286	II       	S        
262.79225	 36.42781	Ia       	E/S0     
 38.00129	  1.24819	Ia       	E        
 44.59983	  6.59308	Ia       	S0       
 10.14221	  3.54142	Ia       	Im       
 14.19538	 -1.59758	Ia       	S        
342.30308	 11.33733	Ia       	E        
334.11258	 16.47028	Ic       	S        
 41.29333	 -4.71372	Ia       	S        
261.54688	 59.30869	Ia       	S        
 39.54838	 -1.31253	Ia       	S        
190.96338	 -0.58178	Ia       	S        
246.71838	 51.55667	II       	S        
 44.55913	  5.97203	Ia       	S0       
  7.48350	 -4.58075	II       	S        
346.22075	 12.33319	Ib       	S        
349.42796	 13.95686	Ia       	S        
114.40317	 41.94914	II       	S        
318.04071	 -1.47569	II       	S        
 45.74588	-14.81719	Ia       	S        
120.49325	 15.05964	Ia       	S        
129.06288	 28.06714	Ia       	S        
342.45171	 11.64633	II       	S        
 30.41504	 15.33281	Ia       	E        
354.70804	 28.26506	Ia       	S        
 48.13538	 39.31167	Ic       	S        
348.56013	 -2.75331	Ia       	S        
162.81075	  5.84967	II       	S        
 22.72704	 18.61108	Ia       	S        
  4.11071	 22.43614	Ia       	S        
 10.30292	 -9.14806	Ia       	S0       
175.98304	 10.78200	Ia       	S        
 44.09838	 41.67544	Ia       	S        
138.60063	 15.85286	Ia       	S        
336.49817	 17.22583	Ia       	S        
161.75592	 26.54392	Ia       	S        
212.74467	  6.36331	Ia       	S        
188.48508	 13.91917	IIn      	S        
192.97813	 26.06764	Ia       	S        
186.77758	  6.42592	Ic       	S        
348.82071	 19.02292	Ia       	S        
 35.15704	  2.40408	II       	S        
153.20300	 43.18319	Ia       	S        
176.01246	 55.69100	Ic       	S        
194.85000	 27.99653	Ia       	E        
242.70838	 17.97669	Ic       	S        
244.41858	 35.00281	Ia       	S0       
205.92079	  3.90003	Ia       	S        
138.15163	 34.85472	Ia       	S        
226.73754	 56.50772	Ib/c     	S        
259.05117	 31.79344	II       	S        
220.47258	 10.75039	Ia       	S        
208.53642	 60.68067	Ia       	S        
184.90638	 46.03222	II       	S        
 34.94396	 -3.20292	Ia       	S        
162.06579	 57.40542	Ic       	S        
164.42188	 57.61331	Ia       	S        
190.14550	-20.56133	Ia       	E/S0     
251.73088	 34.15983	IIn      	S        
185.42275	 40.85533	II       	S        
211.04704	 33.30617	II       	S        
166.02738	  4.83297	Ib       	S        
221.98242	 19.05492	Ia       	S0       
220.92854	  3.97117	Ia       	Im       
157.93450	 46.66806	II       	S        
253.19833	 51.06269	Ia       	S        
323.75404	 -0.51328	Ia       	E/S0     
209.36713	  6.09681	Ic       	S        
  3.87375	 17.32806	Ia       	E        
242.54596	  0.75208	Ia       	S        
 20.40742	  5.29442	Ia       	S        
257.35054	 22.21336	Ia       	S        
205.07496	 26.35331	II       	S        
312.05642	 -5.80361	Ic       	S        
343.58471	 11.78186	II       	S        
345.04542	 26.09922	Ia       	S        
244.56613	 55.38469	Ia       	S        
228.27717	 41.26819	II       	S        
145.51988	  0.33083	Ia       	S        
  8.68263	  9.91003	Ia       	S        
234.66579	 41.00553	Ia       	S        
210.64975	 32.50853	Ic       	S        
263.33688	 44.10447	Ia       	S        
259.45792	 40.88111	Ia       	S        
253.23913	  2.38789	Ia       	S        
  4.35708	 -0.97714	II       	S        
 38.49567	 44.34728	Ib/c     	S        
311.41463	 -5.58661	II       	S        
269.59404	 50.79286	Ia       	S        
121.60150	  1.03586	Ia       	S        
 54.46921	  4.94783	Ia       	S        
  4.70838	-10.36128	II       	S        
 36.41308	 24.76489	Ia       	S0       
256.20913	 12.92678	II       	S        
 28.42488	 29.93461	Ia       	S        
 21.44808	 -1.37492	II       	Im       
346.45433	  3.52239	II       	S        
341.43833	 11.13156	Ib       	S        
 27.70404	 32.54969	Ib       	S        
339.55492	 35.49167	Ia       	S        
335.08413	 17.05617	Ia       	S        
130.83921	 45.73833	Ic       	S        
 52.45208	  6.54869	Ia       	S        
328.59688	 15.15572	Ic       	S        
349.80996	 26.05339	Ib/c     	S        
 15.01038	 41.71600	Ia       	S        
144.37625	 23.15933	Ia       	S        
 14.39838	 -1.39258	Ia       	E        
111.86033	 33.81161	Ia       	S0       
131.77879	 28.23817	Ic       	S        
347.43158	  5.69894	IIn      	S        
180.69529	  2.40169	II       	Im       
350.09304	 27.31606	Ib       	S        
 54.01471	  1.10111	Ia       	E/S0     
349.03992	 -2.23481	Ia       	S        
171.82283	  3.75925	Ia       	S0       
177.57100	 43.96306	Ia       	S0       
161.90904	 38.92358	Ia       	S        
 35.86992	  5.59183	Ia       	S        
 28.75575	 11.65700	Ia       	S        
138.80979	  1.37122	Ia       	Im       
217.16025	 30.63597	Ia       	S        
139.08875	 17.72794	II       	S        
130.84233	 10.72989	Ia       	S        
 48.11063	 19.25178	Ia       	S0       
217.27092	 41.91186	Ia       	S        
119.85175	 16.41894	IIn      	S        
178.46263	 33.36286	Ia       	S        
 45.85504	  4.49442	II       	S        
181.13725	 20.20317	Ia       	S        
266.77633	 57.30131	Ia       	S        
140.71925	 21.98769	Ia       	S        
245.14479	 21.20228	Ia       	S        
203.56125	 37.20967	Ib/c     	S        
194.22454	 22.37450	Ic       	S        
244.17650	  0.24164	II       	S        
169.47867	 -2.09589	Ia       	S        
  6.58013	 -4.49511	II       	S        
189.48896	 34.01917	II       	S        
182.42421	 56.51983	Ia       	S        
