RA	DEC	SNtype	Galtype	mag_g	bar
170.77321  	 -0.26544  	   II      	NA         	NA         	NA         
186.90975  	  0.22528  	           	NA         	NA         	NA         
187.25300  	  0.15314  	   Ia      	NA         	NA         	NA         
179.78446  	 -0.55572  	   II      	NA         	NA         	NA         
190.11979  	 -0.09494  	   Ia      	NA         	NA         	NA         
190.16992  	 -0.38939  	           	NA         	NA         	NA         
205.45146  	  0.10333  	           	NA         	NA         	NA         
190.16467  	 -0.40075  	   II      	NA         	NA         	NA         
206.14988  	 -0.33036  	   Ia      	NA         	NA         	NA         
160.61104  	  0.02650  	   Ia      	NA         	NA         	NA         
160.50879  	  0.03006  	   II      	NA         	NA         	NA         
190.08750  	-11.74417  	   Ia      	NA         	NA         	NA         
173.23804  	 50.24544  	   I       	 S0/a      	14.77      	           
124.75917  	 21.18381  	   II      	 Sd        	13.75      	           
184.96942  	  7.73047  	   II      	 Im        	16.65      	           
191.72396  	-11.64256  	   Ia pec  	 Sab       	12.49      	           
143.45329  	  0.08317  	           	NA         	NA         	NA         
172.67508  	 -0.63239  	   Ia      	NA         	NA         	NA         
186.29917  	  0.08178  	   Ia      	NA         	NA         	NA         
170.60608  	  1.18931  	   Ia      	 S         	17.29      	           
153.48408  	 38.81681  	:  Ia      	 Sb        	14.75      	           
214.16767  	 52.53311  	   Ia      	NA         	NA         	NA         
214.48088  	 52.31683  	   II      	NA         	NA         	NA         
214.13996  	 52.39381  	           	NA         	NA         	NA         
256.57113  	 44.07611  	   Ia      	NA         	NA         	NA         
256.95108  	 44.02394  	   Ia      	NA         	NA         	NA         
256.67950  	 43.90389  	           	NA         	NA         	NA         
256.69567  	 43.82058  	           	NA         	NA         	NA         
189.37050  	 62.11189  	           	NA         	NA         	NA         
189.30588  	 62.08903  	           	NA         	NA         	NA         
189.26779  	 62.44025  	   Ia      	NA         	NA         	NA         
253.25113  	 35.06289  	           	NA         	NA         	NA         
212.49067  	 17.54231  	   Ia pec  	 E         	12.44      	           
201.00492  	  9.70636  	   II      	 Sc        	13.18      	           
247.46192  	 39.75564  	   IIn     	 Sbc       	14.36      	B          
228.41575  	  2.89569  	   IIn     	 Sdm       	16.15      	B          
  6.32196  	 12.88506  	   Ia pec  	 Sbc       	13.81      	B          
151.40596  	 80.29100  	   II      	 Sdm       	13.33      	B          
329.08554  	 73.24706  	   II      	 Sd        	13.38      	B          
352.11838  	 22.42306  	   Ib      	 Sbc       	11.96      	           
241.44304  	 21.48728  	   IIb     	 Sc        	13.20      	           
355.05921  	 26.20328  	   Ia      	 Scd       	18.70      	           
163.57896  	 27.23536  	:  II      	 Scd       	13.23      	           
175.23292  	 11.47936  	   Ib/c pec	 Sc        	11.08      	           
336.04796  	 -3.48625  	   II      	 Sd        	14.12      	B          
345.01221  	 15.98081  	   Ia      	 Sbc pec   	12.00      	           
 63.75004  	  5.53503  	           	NA         	NA         	NA         
 63.70438  	  5.91442  	           	NA         	NA         	NA         
 64.14717  	  5.78419  	           	NA         	NA         	NA         
 29.01538  	-13.71844  	           	NA         	NA         	NA         
117.15708  	 52.22300  	   Ia      	 E/S0      	15.99      	           
 43.25063  	 -3.61058  	   II      	 Sbc       	17.89      	           
 56.73550  	  0.69594  	   Ia      	           	NA         	           
119.26196  	 49.56147  	   Ic pec  	 Sc        	13.46      	           
197.90304  	 22.92483  	   IIn     	 Sc        	12.21      	           
178.74992  	 58.49067  	   Ic      	 Sbc       	12.14      	B          
 74.04846  	 -3.69056  	   Ia      	NA         	NA         	NA         
 74.17171  	 -3.46519  	   Ia      	NA         	NA         	NA         
 74.21017  	 -3.86031  	   Ia      	NA         	NA         	NA         
 74.23838  	 -4.19611  	   Ia      	NA         	NA         	NA         
 74.38479  	 -3.50172  	   Ia      	NA         	NA         	NA         
 74.45246  	 -3.71242  	   Ia      	NA         	NA         	NA         
 74.73467  	 -3.99150  	   Ia      	NA         	NA         	NA         
 75.16067  	 -3.99228  	   Ia      	NA         	NA         	NA         
124.66938  	  3.22681  	   Ia      	NA         	NA         	NA         
125.72388  	  3.87075  	   Ia      	NA         	NA         	NA         
125.75188  	  4.14092  	   Ia      	NA         	NA         	NA         
126.08450  	  3.86000  	   II      	NA         	NA         	NA         
126.10454  	  3.81889  	   II pec  	NA         	NA         	NA         
126.11613  	  3.86828  	   Ia      	NA         	NA         	NA         
125.40888  	  3.41958  	   Ia      	NA         	NA         	NA         
125.51550  	  3.40692  	   Ia      	NA         	NA         	NA         
189.18375  	 62.21241  	   Ia      	NA         	NA         	NA         
189.24046  	 62.22083  	           	NA         	NA         	NA         
 74.62596  	 -3.26778  	   Ia      	NA         	NA         	NA         
 74.90238  	 -3.15961  	   Ia      	NA         	NA         	NA         
 74.90546  	 -3.15044  	   Ia      	NA         	NA         	NA         
115.32429  	  9.55317  	   Ia      	NA         	NA         	NA         
125.48808  	  3.89325  	   Ia      	NA         	NA         	NA         
125.73913  	  3.87378  	           	NA         	NA         	NA         
125.95846  	  3.48133  	   Ia      	NA         	NA         	NA         
126.01046  	  4.12586  	   Ia      	NA         	NA         	NA         
 25.93533  	  4.22142  	   II      	 Sbc       	13.57      	           
192.05950  	 -3.33292  	   Ib/c    	 Sa        	11.25      	B          
191.38083  	 54.73806  	   Ia      	 Sb        	14.71      	B          
186.38604  	  7.64972  	   Ia      	 Sb        	15.21      	B          
192.19683  	 41.92453  	   Ia pec  	 Sbc       	14.02      	B          
205.90175  	  0.13394  	   Ia      	NA         	NA         	NA         
205.61496  	 -0.11311  	   Ia      	NA         	NA         	NA         
206.06758  	 -0.18036  	   Ia      	NA         	NA         	NA         
205.77238  	 -0.42861  	   Ia      	NA         	NA         	NA         
205.33908  	 -0.54272  	   II      	NA         	NA         	NA         
179.10779  	 55.12867  	   Ia      	 Sbc       	11.89      	           
143.74525  	 21.71597  	   II      	 Sc        	12.40      	           
164.31825  	 -3.56644  	   Ia      	NA         	NA         	NA         
164.33963  	 -3.24719  	   Ia      	NA         	NA         	NA         
164.34075  	 -3.42306  	   Ia      	NA         	NA         	NA         
116.51205  	 18.71672  	   Ia      	 S0        	15.33      	           
205.90383  	  2.32517  	   Ia      	NA         	NA         	NA         
205.97325  	  1.42603  	   Ia      	NA         	NA         	NA         
206.29225  	  2.39789  	   Ia      	NA         	NA         	NA         
206.37104  	  1.95903  	   Ia      	NA         	NA         	NA         
206.58704  	  2.04456  	   Ia      	NA         	NA         	NA         
206.63250  	  2.14381  	           	NA         	NA         	NA         
206.79892  	  2.12289  	           	NA         	NA         	NA         
206.90229  	  2.30625  	           	NA         	NA         	NA         
206.93633  	  2.34922  	   Ia      	NA         	NA         	NA         
206.95679  	  1.99661  	           	NA         	NA         	NA         
207.20104  	  2.97811  	   Ia      	NA         	NA         	NA         
207.40017  	  1.96294  	           	NA         	NA         	NA         
140.37704  	 64.24039  	   II      	 Im        	15.13      	           
227.58554  	  5.85458  	           	           	NA         	           
227.60392  	  5.92500  	           	NA         	NA         	NA         
161.69171  	 11.83542  	   Ia      	 Sab       	NA         	NA         
159.60583  	 47.70911  	   II P    	 Im        	16.62      	           
110.89429  	 41.43450  	   II      	 Sc        	14.17      	B          
202.33046  	 17.04511  	   Ib      	 Sc        	12.52      	           
161.26733  	 39.42014  	   Ia      	 Sbc       	16.50      	           
165.79671  	 27.97250  	:          	 Sb        	11.50      	B          
184.57554  	 20.74057  	   Ia      	 Sbc       	17.87      	           
190.25467  	 -6.66339  	   Ia      	 S0/a      	14.75      	           
206.05404  	  3.01119  	   Ia      	 S         	18.58      	           
173.97667  	 70.53617  	   Ia      	 Sc        	12.43      	           
187.96792  	 52.39417  	           	 Sbc       	14.62      	           
245.82188  	 37.21319  	           	 Sbc       	15.67      	           
247.66342  	 41.21511  	   Ia      	 Sb        	15.49      	           
237.79863  	 21.94333  	   IIn     	 Sc        	14.65      	           
210.74700  	 34.74842  	:  Ia      	 Sab       	12.35      	           
 12.02867  	 27.62458  	   Ia pec  	 S0/a      	12.78      	           
348.66796  	  4.53725  	   Ia      	 Sbc       	12.46      	           
 30.27883  	 -6.81800  	   Ia      	 S0/a      	12.53      	           
  3.63400  	 -0.73636  	   Ia      	 Sc        	14.07      	           
 41.50613  	 -7.57364  	:  II      	 Sc        	10.92      	           
 21.55821  	 -6.10389  	:  Ia      	 Scd       	13.14      	           
 15.36283  	 -7.61019  	   II      	 Sdm       	12.96      	           
 18.62883  	  0.47028  	           	 S         	18.27      	           
 15.86196  	 32.23678  	   Ia      	 Sab       	13.71      	           
339.87621  	  8.60572  	   Ia      	 Scd       	15.44      	           
 74.06446  	 -3.77742  	   Ia      	NA         	NA         	NA         
349.99029  	 16.05542  	   Ia      	 S         	17.78      	           
350.11446  	 15.92881  	   Ia      	NA         	NA         	NA         
 24.32333  	  5.88072  	   Ia pec  	 Sab pec   	13.32      	           
 14.99442  	 14.30011  	   Ia      	NA         	NA         	NA         
322.50279  	 26.72261  	   Ic      	 Sb        	13.12      	B          
 64.20888  	 -5.74989  	           	NA         	NA         	NA         
 44.80254  	  3.49417  	   Ia      	 E         	16.27      	           
 19.82525  	 15.92336  	   Ia      	NA         	NA         	NA         
239.80350  	 20.76083  	           	 Sb        	16.03      	           
120.90425  	  6.17053  	   II      	NA         	NA         	NA         
121.21446  	  5.61092  	           	NA         	NA         	NA         
121.21483  	  5.26325  	   Ia      	NA         	NA         	NA         
 63.42858  	 -5.84589  	           	NA         	NA         	NA         
173.40263  	  4.58461  	   II      	NA         	NA         	NA         
173.43488  	  4.08706  	   Ia      	NA         	NA         	NA         
173.37246  	  3.85347  	           	NA         	NA         	NA         
168.65429  	 30.31436  	   II      	 Sa        	14.49      	           
176.52546  	 47.48217  	   IIn     	 Sc        	11.53      	           
172.13817  	 58.56214  	   Ib      	 S         	NA         	           
275.65583  	 15.70233  	:  Ia      	 Sb        	13.80      	B          
149.72846  	 14.42381  	:  II      	 Scd       	13.25      	           
114.23721  	 35.24333  	   II      	 S pec     	12.51      	           
226.98033  	 54.76111  	   II      	 Sc        	13.09      	           
126.92513  	 21.48744  	   Ia pec  	 Sbc       	12.43      	B          
156.25267  	 53.87694  	   II      	 Sc        	16.94      	           
241.81254  	  7.97233  	   Ia pec  	 Scd       	13.58      	           
173.32692  	 -5.75828  	           	 Sc        	16.10      	           
170.66392  	-11.73164  	           	NA         	NA         	NA         
126.04533  	 12.11628  	   Ia      	 Sdm       	15.93      	B          
180.29404  	 14.10308  	   II      	 Sd        	14.07      	B          
127.44775  	  4.62736  	   II      	 S         	17.22      	           
140.06667  	  0.56100  	   Ia      	NA         	NA         	NA         
139.12858  	 13.65061  	   Ic pec  	NA         	NA         	NA         
155.79708  	 17.98500  	   Ia      	 S0        	17.37      	           
210.99133  	 15.85256  	:  Ia      	 Sm        	18.21      	           
221.18275  	 58.92842  	   II      	 S         	17.98      	           
154.83071  	 -2.82750  	   Ia      	 S         	18.52      	           
127.12950  	 17.47094  	:  Ic      	 Sbc       	13.98      	           
142.62154  	 16.43550  	   II      	NA         	NA         	NA         
125.91083  	 18.30567  	   Ia      	 Scd       	14.37      	           
177.46783  	 -0.68886  	   Ia      	NA         	NA         	NA         
181.03042  	 62.50033  	   II      	 Sd        	13.62      	B          
163.69571  	 61.28889  	   Ia      	 Sb        	13.83      	B          
191.25350  	 -6.45839  	   Ia      	NA         	NA         	NA         
195.17425  	  2.49594  	   II pec  	 Sd        	11.45      	B          
257.90738  	 72.42097  	   Ia      	 S         	16.92      	           
174.92708  	 31.90808  	   Ic      	 Sab       	12.91      	B          
260.66971  	 60.00358  	   Ia      	 Sd        	15.16      	B          
285.42246  	 40.74778  	   II      	 Scd pec   	13.50      	           
140.46742  	 51.00200  	   Ia pec  	 Sb        	 9.90      	           
246.45171  	 40.34233  	   Ia      	 Scd pec   	14.78      	           
240.67513  	 37.35956  	   Ia      	 Sbc       	13.71      	           
170.42871  	 20.15669  	   II      	 Sc        	11.54      	           
172.21488  	 57.13444  	   Ia      	           	NA         	           
203.37379  	 33.05636  	   Ia      	 Sb        	14.02      	B          
253.69038  	 39.98719  	   Ia      	NA         	NA         	NA         
223.05292  	 27.90617  	   Ia      	NA         	NA         	NA         
153.51025  	 -0.23403  	   Ia      	NA         	NA         	NA         
212.23579  	 -0.09742  	   Ia      	NA         	NA         	NA         
187.98338  	 14.42647  	   Ia      	 Sbc       	 9.96      	           
227.82992  	 61.11983  	   Ia      	 Sbc       	14.73      	           
226.69275  	 12.85264  	   Ic      	 Sb        	15.55      	B          
198.26900  	 46.26464  	   Ia      	NA         	NA         	NA         
  5.00608  	 -6.33433  	   Ia      	 Sbc       	14.19      	           
169.70613  	  0.61908  	           	 Sb        	15.18      	           
172.11825  	 58.56083  	   II      	 S         	NA         	           
263.84567  	 60.81369  	   Ia      	 E         	12.39      	           
  6.87942  	 21.71306  	           	NA         	NA         	NA         
  5.61750  	 23.39894  	           	NA         	NA         	NA         
227.23550  	 52.44808  	   II      	 Sab       	15.05      	B          
227.86838  	 13.48492  	   Ia      	 E         	13.74      	           
 32.77529  	  3.85192  	   II      	 Scd       	13.49      	           
 29.97858  	 23.63964  	   Ib      	 Sbc       	13.28      	           
 22.86217  	 14.28492  	   Ia      	 Sc        	14.10      	           
346.04875  	 27.11869  	           	 Sbc       	18.32      	           
230.62042  	 27.71611  	           	 E/S0      	15.59      	           
354.06171  	  2.15233  	   Ib      	 S         	NA         	           
343.37446  	 31.64525  	   Ia      	 Sa        	14.41      	           
 38.49867  	 20.97511  	   Ia pec  	 Sc        	12.88      	           
345.07317  	 -0.08681  	   Ia      	NA         	NA         	NA         
358.46513  	  0.15636  	   II      	NA         	NA         	NA         
 11.42621  	  0.05617  	   Ia      	NA         	NA         	NA         
 16.77475  	 -0.13161  	   Ia      	NA         	NA         	NA         
 17.24567  	  0.00689  	   Ia      	NA         	NA         	NA         
 20.72000  	 -0.27244  	   Ia      	NA         	NA         	NA         
 23.49771  	  0.07092  	   Ia      	NA         	NA         	NA         
 23.95638  	  0.14397  	   Ia      	NA         	NA         	NA         
 24.26350  	  0.03275  	   Ia      	NA         	NA         	NA         
 26.85871  	 -0.03533  	   Ia      	NA         	NA         	NA         
 25.93938  	  4.22386  	   IIn     	 Sbc       	13.57      	           
 14.69250  	 12.74583  	   Ia      	 Sc        	14.98      	B          
137.38613  	 33.12136  	:  Ib      	 Sc        	12.58      	           
 20.73908  	 33.46611  	   Ia      	 Sab       	13.76      	B          
 18.87375  	 -4.51339  	   Ia      	NA         	NA         	NA         
 40.05500  	  4.91481  	   Ia      	NA         	NA         	NA         
 19.84458  	 -3.60550  	   II      	 Sb        	15.78      	           
 41.77867  	 -2.96219  	   II      	 Sb        	14.71      	           
 38.18083  	 22.45222  	   Ia      	 E/S0      	16.58      	           
 70.93138  	 -5.32217  	   II      	 Sbc       	13.31      	B          
184.95083  	 29.62269  	   II      	 Sab       	11.14      	           
171.57358  	 46.97575  	   II      	 Sa pec    	13.69      	           
339.16250  	 -0.25253  	           	NA         	NA         	NA         
171.81271  	 -6.17594  	   Ia      	NA         	NA         	NA         
339.37350  	 -0.19336  	   Ia      	NA         	NA         	NA         
339.39117  	 -0.34167  	           	NA         	NA         	NA         
 45.62671  	  0.17056  	   Ia      	NA         	NA         	NA         
 45.82288  	  0.05183  	   Ia      	NA         	NA         	NA         
 45.75583  	  0.21403  	   II      	NA         	NA         	NA         
 38.47663  	  0.54878  	   Ia      	NA         	NA         	NA         
 36.92450  	  0.65369  	           	NA         	NA         	NA         
 36.99304  	  0.66022  	   Ia      	NA         	NA         	NA         
 37.04863  	  0.72758  	   Ia      	NA         	NA         	NA         
 37.09883  	  0.65267  	   Ia      	NA         	NA         	NA         
 37.22450  	  1.27339  	   Ia      	NA         	NA         	NA         
 37.52304  	  0.74794  	   II      	NA         	NA         	NA         
 37.64842  	  1.16203  	   Ia      	NA         	NA         	NA         
 63.51617  	  4.29861  	   Ia      	NA         	NA         	NA         
 63.69063  	  6.64286  	   Ia      	NA         	NA         	NA         
351.44375  	  0.29700  	           	           	NA         	           
351.81825  	  0.06300  	   II      	NA         	NA         	NA         
351.82154  	  0.13064  	           	NA         	NA         	NA         
352.06208  	  0.08517  	   Ia      	NA         	NA         	NA         
352.45088  	  0.14083  	   Ia      	NA         	NA         	NA         
352.64917  	  0.27778  	   Ia      	NA         	NA         	NA         
352.97096  	  0.15897  	   Ia      	NA         	NA         	NA         
353.40746  	  0.20106  	   Ia      	NA         	NA         	NA         
353.44542  	  0.20444  	   II      	NA         	NA         	NA         
122.55708  	 33.95828  	   IIn     	 Scd       	12.70      	           
129.60254  	 25.75919  	   Ia      	 S         	13.98      	           
 14.18233  	 -9.91194  	   II      	 Sc        	12.30      	B          
153.40417  	 -0.93600  	   Ia      	 E         	13.53      	           
 51.99517  	 39.90528  	   II      	 Sc        	14.62      	           
154.56942  	 41.44117  	   II P    	 Sc        	NA         	NA         
157.33000  	 26.10561  	   Ia      	 Sc        	13.92      	           
190.96629  	 -0.54872  	   II      	 Scd       	12.33      	           
 14.41696  	 43.79322  	   II      	 S         	13.96      	           
185.48758  	  4.46267  	   II      	 Sbc       	NA         	B          
188.45133  	 15.18006  	   II      	 Sm        	12.50      	B          
182.29713  	 29.27631  	   Ia      	 Scd       	16.14      	           
192.60950  	 25.47125  	           	 Sb        	 9.58      	B          
138.97792  	 44.33194  	           	 Sbc       	NA         	           
  8.56446  	  0.07394  	   Ia      	NA         	NA         	NA         
120.77525  	  3.41433  	   II      	 Sd        	15.57      	B          
142.13317  	 -0.32664  	   Ia      	NA         	NA         	NA         
160.52175  	 -0.48339  	   II      	NA         	NA         	NA         
161.03633  	 -0.81792  	   Ib/c    	 Sbc       	16.90      	           
120.18879  	  5.52428  	   Ia      	NA         	NA         	NA         
 64.44496  	 -4.83567  	   II      	NA         	NA         	NA         
133.63429  	 36.51142  	   Ia      	 Sa        	15.54      	B          
155.65513  	 27.35550  	   IIn     	 Sb        	15.68      	B          
351.99542  	  8.78392  	   Ia      	 S         	15.27      	           
123.21596  	 -0.90239  	           	NA         	NA         	NA         
126.77425  	 -0.25747  	           	 S         	18.44      	           
134.59492  	 -1.66803  	           	NA         	NA         	NA         
138.50125  	 -2.27603  	           	 S         	18.39      	           
176.29750  	 -1.63644  	           	 S         	19.14      	           
177.23213  	 -0.97672  	           	NA         	NA         	NA         
178.01879  	 -0.81969  	           	NA         	NA         	NA         
178.36350  	 -0.98375  	           	NA         	NA         	NA         
181.56600  	 -1.09408  	           	NA         	NA         	NA         
189.25508  	 -1.82964  	           	 Sb        	18.02      	           
196.61971  	 -0.22500  	           	NA         	NA         	NA         
197.95688  	 -1.35539  	           	NA         	NA         	NA         
203.00408  	 -2.19392  	           	NA         	NA         	NA         
206.59975  	 -0.10950  	           	NA         	NA         	NA         
209.45750  	 -0.01800  	           	NA         	NA         	NA         
212.34854  	 -0.58381  	           	NA         	NA         	NA         
212.60017  	 -0.30192  	           	NA         	NA         	NA         
213.04954  	 -0.48478  	           	NA         	NA         	NA         
219.03804  	 -0.42675  	           	NA         	NA         	NA         
223.87917  	 -1.88644  	           	 S         	18.77      	           
118.28500  	 50.12647  	   II      	 Sb        	14.86      	B          
120.39167  	 -1.95397  	           	NA         	NA         	NA         
131.06813  	 -0.71742  	           	NA         	NA         	NA         
136.43692  	 -1.66467  	           	NA         	NA         	NA         
139.50896  	 -2.28303  	           	NA         	NA         	NA         
154.00854  	 -1.89442  	           	NA         	NA         	NA         
158.16179  	 -2.00672  	           	NA         	NA         	NA         
158.27625  	 -1.00589  	           	NA         	NA         	NA         
196.83671  	 -1.08558  	           	NA         	NA         	NA         
228.01408  	 -0.00114  	           	NA         	NA         	NA         
228.07654  	 -1.65486  	           	NA         	NA         	NA         
253.24221  	  2.39736  	   IIn     	 S pec     	13.27      	           
134.73342  	  5.17103  	           	NA         	NA         	NA         
143.92146  	  4.53703  	   Ia      	NA         	NA         	NA         
256.72779  	 43.11158  	   II      	 Sbc       	14.87      	           
171.79771  	 -6.38739  	   II      	NA         	NA         	NA         
174.97879  	 -4.37122  	   Ia      	 S0/a      	17.26      	           
114.23796  	 35.24417  	   Ic      	 S pec     	12.51      	           
240.38396  	  1.70639  	   II      	 Scd       	13.26      	           
121.28938  	 66.78756  	   Ia      	 Sbc       	13.93      	B          
239.93967  	 18.80361  	   II      	 Sbc       	14.22      	B          
266.05504  	 67.59619  	           	 Sc        	16.14      	           
209.52563  	 28.42028  	   II pec  	 Sb        	14.91      	           
183.24763  	  7.30017  	   Ia      	 Sc        	16.43      	           
239.35246  	 41.90056  	   II      	 Sc        	15.63      	B          
241.36508  	 17.83022  	   Ia      	 S         	17.24      	           
245.33892  	 40.80269  	   II      	 Scd       	14.81      	           
209.65988  	 37.43692  	   Ic      	 Sbc       	12.16      	           
245.88433  	 39.12475  	   II pec  	 Sbc       	14.19      	           
255.26517  	 33.47917  	   IIn     	 Sd        	15.66      	B          
183.92588  	 61.89000  	   Ia      	 Sab       	14.83      	B          
356.85458  	 28.38772  	   Ia      	 Sbc       	14.85      	           
 21.19229  	  9.50858  	   Ia pec  	 S0/a      	10.74      	           
233.06146  	 18.67303  	           	 Sb        	15.32      	B          
  0.77717  	 -1.91161  	   II      	 Sbc       	13.92      	           
178.41563  	 47.86294  	:  II      	 Sc        	11.27      	           
186.30071  	 54.50797  	   Ib      	 Sab       	13.38      	           
243.55092  	  6.15017  	   Ia      	 S0/a      	15.58      	           
  1.55754  	  8.88819  	   Ia      	 Sbc       	15.46      	B          
 16.84800  	 32.40644  	   Ia      	 E         	13.51      	           
 25.52404  	  7.66617  	   Ia      	 E         	14.69      	           
346.27442  	 -3.20028  	   Ia      	 Sb        	14.60      	B          
 32.08742  	  1.18356  	   II      	 Sbc       	15.09      	           
137.90117  	 60.02869  	   Ib      	 S0        	10.54      	           
113.83242  	 19.04542  	   II      	 Sb        	13.07      	           
134.18083  	 52.10367  	   Ib      	 Sc        	12.98      	           
 34.61200  	  5.65056  	   Ia      	 Sb pec    	13.68      	           
351.39971  	 -0.37611  	   Ia      	NA         	NA         	NA         
352.67233  	  0.31186  	   Ia      	NA         	NA         	NA         
 32.47508  	 -5.47161  	   Ia      	NA         	NA         	NA         
 32.60729  	 -5.42603  	   Ia      	NA         	NA         	NA         
 32.88346  	 -4.23225  	   Ia      	NA         	NA         	NA         
 32.77879  	 -4.37739  	   II      	NA         	NA         	NA         
 36.89388  	  1.19706  	   Ia      	NA         	NA         	NA         
 37.04292  	 -1.18433  	   II      	NA         	NA         	NA         
 37.58771  	  1.06347  	   Ia      	NA         	NA         	NA         
 64.27992  	  5.76475  	   II      	NA         	NA         	NA         
320.06525  	 -4.87792  	   Ia      	 S0        	13.77      	           
337.11092  	 17.14756  	   II      	 Sc        	13.74      	           
  8.87425  	 -2.65761  	   II pec  	 Sbc       	15.55      	           
 10.78488  	 -0.38822  	   Ia      	NA         	NA         	NA         
315.99154  	 -9.69217  	   Ia      	NA         	NA         	NA         
125.31338  	  1.15703  	   Ia      	 S         	16.91      	           
101.96667  	 84.16728  	   IIn     	 Sm        	14.31      	B          
175.24417  	 11.46550  	   Ic      	 Sc        	11.08      	           
349.85500  	  5.90586  	   Ia      	 S         	13.68      	           
179.44063  	 32.29697  	   II      	 Sm        	12.52      	           
 48.21963  	  4.70956  	   Ic      	 Sbc       	13.41      	B          
  7.30038  	 33.10819  	   Ia      	 Sd        	15.97      	           
138.72979  	 46.90056  	   II      	 Sc        	14.10      	           
 11.35300  	 -3.27978  	           	NA         	NA         	NA         
 21.13067  	-10.39617  	           	NA         	NA         	NA         
 70.11942  	 -5.16881  	           	NA         	NA         	NA         
328.23808  	 -6.54831  	           	 S         	19.05      	           
332.21796  	 -4.69431  	           	 S         	18.32      	           
354.10833  	 -0.38822  	           	NA         	NA         	NA         
356.58154  	 -6.51775  	           	NA         	NA         	NA         
121.74079  	  8.00536  	   Ib      	 Sb        	14.12      	           
344.60558  	 26.64072  	   Ia      	 Sb        	14.76      	           
140.90700  	 29.87389  	   Ia      	NA         	NA         	NA         
210.49063  	  4.72844  	   Ia      	NA         	NA         	NA         
345.81433  	  8.87403  	           	 Sab       	12.58      	           
NA         	NA         	   Ia      	           	NA         	           
NA         	NA         	   Ia      	           	NA         	           
NA         	NA         	   Ia      	 S         	18.34      	           
NA         	NA         	   Ia      	 Sb        	16.98      	           
NA         	NA         	   Ia      	           	NA         	           
263.11892  	 56.07375  	   Ia      	           	NA         	           
145.17308  	 11.88569  	   II      	 Sbc       	13.80      	B          
202.81767  	 29.37564  	   II      	 Sc        	14.93      	B          
176.95867  	 56.01703  	   Ia      	 S0        	15.29      	           
153.75758  	 65.13431  	   II      	 Sd        	13.74      	B          
182.81492  	 17.89228  	   Ia      	 Sd        	14.51      	B          
191.36625  	-12.17619  	           	 S         	17.81      	           
172.68921  	 -5.20467  	:          	 S         	17.64      	           
117.50463  	 -0.58281  	           	NA         	NA         	NA         
184.84588  	  5.82792  	   Ia      	 E         	10.90      	           
262.49046  	 60.35644  	   II      	 Sb        	14.15      	B          
244.89513  	 57.61819  	   II      	 Sc        	13.89      	B          
261.01021  	 58.99783  	   IIb     	 Sd        	14.26      	B          
200.60900  	 -2.42361  	   II      	 Sb        	14.01      	B          
143.62921  	 46.46075  	   II      	 Sb        	15.76      	B          
167.62425  	 55.16083  	   Ia pec  	 Sbc       	15.03      	B          
205.41404  	 55.66828  	   Ic      	 Sb        	13.59      	           
242.62596  	 19.95033  	   II      	 Sc        	14.67      	           
236.21558  	 36.12472  	   Ia      	NA         	NA         	NA         
137.94763  	 -1.31617  	           	NA         	NA         	NA         
151.39900  	 -1.47833  	           	NA         	NA         	NA         
153.44042  	 -1.41439  	           	NA         	NA         	NA         
210.39067  	 -0.99686  	           	NA         	NA         	NA         
220.22275  	 -0.65683  	           	NA         	NA         	NA         
227.43883  	 -0.92722  	           	NA         	NA         	NA         
229.20488  	 -0.12961  	           	NA         	NA         	NA         
235.76217  	 -2.03889  	           	 S         	18.92      	           
241.80704  	 -0.08033  	   II      	 S0/a      	15.72      	           
216.57083  	 26.24883  	   Ia      	 Sbc       	14.82      	           
248.61546  	 76.02967  	   Ia      	 Sbc       	15.59      	B          
128.82858  	 28.46828  	   Ia      	 Sbc pec   	12.63      	           
142.15746  	 -0.61614  	           	NA         	NA         	NA         
159.10763  	 -0.97161  	           	NA         	NA         	NA         
171.38388  	 -1.73369  	   II      	 S         	19.72      	           
183.23900  	 -0.01475  	           	NA         	NA         	NA         
203.99438  	 -0.75092  	           	 S         	19.42      	           
231.42000  	 -1.30014  	           	NA         	NA         	NA         
240.53854  	 36.71889  	   Ia      	 S         	17.76      	           
161.34246  	 -1.47903  	           	NA         	NA         	NA         
209.53796  	 -1.86136  	           	NA         	NA         	NA         
210.27292  	 -1.14056  	           	 Sbc       	17.57      	           
223.52342  	 -1.70114  	:          	NA         	NA         	NA         
231.47067  	 -2.17464  	           	NA         	NA         	NA         
232.55733  	 -0.15722  	           	NA         	NA         	NA         
233.92146  	 -0.27267  	           	           	NA         	           
234.68367  	 -0.38239  	           	NA         	NA         	NA         
236.05671  	 -1.88764  	           	           	NA         	           
236.66179  	 -0.38589  	           	NA         	NA         	NA         
249.86871  	 -1.45497  	           	NA         	NA         	NA         
180.63183  	 41.04969  	:  IIb     	 Sc        	13.49      	           
193.92029  	 27.25108  	   Ia      	 S0/a      	14.46      	           
321.49663  	 -3.81300  	   Ic      	 Scd       	15.05      	           
150.48838  	 55.68722  	   Ic      	 Sc        	NA         	NA         
200.43688  	 31.24683  	   Ia      	 Sb        	14.58      	B          
219.45867  	 30.48394  	   Ia      	 Sb        	NA         	           
335.65633  	 -4.12522  	   II      	 Sc        	13.50      	B          
233.52792  	 56.69061  	   II      	 Sb        	12.93      	           
