RA	DEC	SNtype	Galtype	mag_g	bar
164.03520  	 24.15528  	           	 Sm        	17.89      	           
188.67704  	 49.33189  	           	 Sc        	16.29      	           
234.16921  	 43.54389  	           	 Sab       	13.74      	B          
179.43103  	 53.37219  	   Ia      	 Sbc       	10.39      	B          
196.96258  	 -0.86675  	           	 Sc        	15.34      	           
NA         	NA         	           	NA         	NA         	NA         
199.28716  	  2.34253  	           	 Sc        	16.96      	           
200.19324  	  2.27308  	           	 Sbc       	17.10      	           
199.44876  	 -1.57450  	           	 S         	17.52      	           
197.68875  	  0.03067  	           	 Sbc       	15.78      	           
198.45899  	 -3.60653  	           	 Sb        	15.31      	           
140.46333  	 50.99778  	   Ia pec  	 Sb        	 9.90      	           
186.26330  	 12.89994  	   Ia      	 E         	NA         	NA         
240.20921  	 19.71031  	           	 Sa        	16.70      	           
 39.27508  	  1.32458  	           	 Sbc       	15.62      	           
 50.16829  	 42.80408  	           	 Sa        	15.28      	B          
195.36483  	 27.87306  	           	 Sab       	12.97      	B          
197.84925  	  3.41050  	   Ia      	 Sc pec    	15.75      	           
339.25738  	 34.41891  	   II L    	 Sbc       	 9.87      	           
185.74546  	 15.81703  	   I       	 Sc        	NA         	NA         
 42.42838  	 -0.51783  	           	 Sb        	14.66      	B          
 38.86025  	  2.11164  	           	 Sd        	16.81      	           
188.68338  	  9.00272  	           	 Sa        	15.25      	           
181.78867  	 16.99883  	           	 Sb        	14.48      	           
125.07425  	 20.86794  	           	 Sd        	14.43      	B          
184.40442  	 47.88717  	           	 Sab       	16.92      	B          
187.92525  	  3.94664  	:  Ia      	 Sd        	11.99      	B          
172.76492  	 18.38781  	           	 Sc        	15.85      	           
181.53138  	 47.51067  	   Ia pec  	 Sc        	11.48      	           
186.73929  	 48.27467  	   I       	 Sb pec    	14.32      	           
186.26479  	 28.56258  	           	 Sbc       	13.57      	           
339.93638  	 34.37817  	           	 Sc        	13.61      	B          
330.17346  	 17.72219  	           	 Sbc       	11.53      	B          
124.94767  	 22.04136  	   I       	 Sbc       	12.80      	           
126.53325  	 21.45903  	   I       	 Sd        	15.17      	B          
354.10646  	 27.93903  	           	 Sc        	16.56      	           
 16.54183  	 31.40656  	   I       	 Sc        	15.55      	           
