SNtype	mag_g	bar	Galtype2
CC   	12.52	     	S    
Ia   	16.50	     	S    
Ia   	17.87	     	S    
Ia   	14.75	     	S0   
Ia   	18.58	     	S    
Ia   	12.43	     	S    
Ia   	15.49	     	S    
Ia   	12.46	     	S    
Ia   	12.53	     	S0   
Ia   	14.07	     	S    
CC   	12.96	     	S    
Ia   	13.71	     	S    
Ia   	15.44	     	S    
Ia   	17.78	     	S    
CC   	13.12	B    	S    
Ia   	16.27	     	E    
CC   	14.49	     	S    
CC   	12.51	     	S    
CC   	13.09	     	S    
CC   	16.94	     	S    
Ia   	15.93	B    	S    
CC   	14.07	B    	S    
CC   	17.22	     	S    
Ia   	17.37	     	S0   
CC   	17.98	     	S    
Ia   	18.52	     	S    
Ia   	14.37	     	S    
CC   	13.62	B    	S    
Ia   	13.83	B    	S    
Ia   	16.92	     	S    
CC   	12.91	B    	S    
Ia   	15.16	B    	S    
CC   	13.50	     	S    
Ia   	14.78	     	S    
Ia   	13.71	     	S    
CC   	11.54	     	S    
Ia   	14.02	B    	S    
Ia   	 9.96	     	S    
Ia   	14.73	     	S    
CC   	15.55	B    	S    
Ia   	14.19	     	S    
Ia   	12.39	     	E    
CC   	15.05	B    	S    
Ia   	13.74	     	E    
CC   	13.49	     	S    
CC   	13.28	     	S    
Ia   	14.10	     	S    
Ia   	14.41	     	S    
Ia   	14.98	B    	S    
Ia   	13.76	B    	S    
CC   	15.78	     	S    
CC   	14.71	     	S    
Ia   	16.58	     	E/S0 
CC   	13.31	B    	S    
CC   	11.14	     	S    
CC   	13.69	     	S    
Ia   	13.98	     	S    
CC   	12.30	B    	S    
Ia   	13.53	     	E    
CC   	14.62	     	S    
Ia   	13.92	     	S    
CC   	12.33	     	S    
CC   	13.96	     	S    
CC   	12.50	B    	S    
Ia   	16.14	     	S    
CC   	15.57	B    	S    
CC   	16.90	     	S    
Ia   	15.54	B    	S    
Ia   	15.27	     	S    
CC   	14.86	B    	S    
CC   	14.87	     	S    
Ia   	17.26	     	S0   
CC   	12.51	     	S    
CC   	13.26	     	S    
Ia   	13.93	B    	S    
CC   	14.22	B    	S    
Ia   	16.43	     	S    
CC   	15.63	B    	S    
Ia   	17.24	     	S    
CC   	14.81	     	S    
CC   	12.16	     	S    
Ia   	14.83	B    	S    
Ia   	14.85	     	S    
CC   	13.92	     	S    
CC   	13.38	     	S    
Ia   	15.58	     	S0   
Ia   	15.46	B    	S    
Ia   	13.51	     	E    
Ia   	14.69	     	E    
Ia   	14.60	B    	S    
CC   	15.09	     	S    
CC   	10.54	     	S0   
CC   	13.07	     	S    
CC   	12.98	     	S    
Ia   	13.68	     	S    
Ia   	13.77	     	S0   
CC   	13.74	     	S    
Ia   	16.91	     	S    
CC   	11.08	     	S    
Ia   	13.68	     	S    
CC   	12.52	     	S    
CC   	13.41	B    	S    
Ia   	15.97	     	S    
CC   	14.10	     	S    
CC   	14.12	     	S    
Ia   	14.76	     	S    
Ia   	18.34	     	S    
Ia   	16.98	     	S    
CC   	13.80	B    	S    
CC   	14.93	B    	S    
Ia   	15.29	     	S0   
CC   	13.74	B    	S    
Ia   	14.51	B    	S    
Ia   	10.90	     	E    
CC   	14.15	B    	S    
CC   	13.89	B    	S    
CC   	14.01	B    	S    
CC   	15.76	B    	S    
CC   	13.59	     	S    
CC   	14.67	     	S    
CC   	15.72	     	S0   
Ia   	14.82	     	S    
Ia   	15.59	B    	S    
Ia   	12.63	     	S    
CC   	19.72	     	S    
Ia   	17.76	     	S    
Ia   	14.46	     	S0   
CC   	15.05	     	S    
Ia   	14.58	B    	S    
CC   	13.50	B    	S    
CC   	12.93	     	S    
CC   	14.13	B    	S    
CC   	13.43	     	S    
CC   	14.31	B    	S    
Ia   	14.51	B    	S    
Ia   	16.02	     	S    
Ia   	15.14	     	S    
Ia   	10.90	B    	S    
CC   	13.68	B    	S    
CC   	16.35	     	S    
CC   	15.54	     	S    
CC   	15.30	     	S    
Ia   	12.47	     	S    
Ia   	15.84	     	S    
Ia   	12.86	     	S    
CC   	15.06	     	S    
Ia   	13.71	B    	S    
Ia   	13.89	     	S    
CC   	14.37	     	S    
Ia   	17.70	     	S    
Ia   	18.88	     	S    
Ia   	17.05	     	S    
Ia   	14.35	B    	S    
CC   	15.49	     	S    
CC   	15.37	     	S    
CC   	15.02	B    	S    
Ia   	13.93	B    	S    
CC   	14.23	     	S    
Ia   	17.69	     	S    
Ia   	15.34	     	S    
Ia   	14.17	     	S    
CC   	12.49	     	S    
Ia   	14.19	     	E/S0 
CC   	14.25	B    	S    
CC   	13.92	     	S    
CC   	15.07	     	S    
CC   	14.33	B    	S    
CC   	13.62	     	S    
Ia   	18.42	     	S    
Ia   	17.07	     	S    
Ia   	18.27	     	S    
Ia   	18.21	     	S    
Ia   	17.86	B    	S    
Ia   	18.30	     	S    
Ia   	17.90	     	S    
Ia   	16.41	     	E/S0 
Ia   	17.60	B    	S    
Ia   	18.19	     	S    
Ia   	13.31	     	S    
Ia   	13.60	B    	S    
CC   	13.45	     	S    
CC   	12.52	     	S    
CC   	15.21	B    	S    
Ia   	13.98	     	S    
CC   	14.91	     	S    
CC   	14.66	     	S    
Ia   	17.26	     	S    
CC   	13.10	     	S    
CC   	14.89	B    	S    
Ia   	14.67	B    	S    
CC   	13.45	     	S    
Ia   	15.97	     	S    
Ia   	14.33	B    	S    
Ia   	15.00	     	S    
CC   	13.65	     	S    
Ia   	15.21	     	S    
Ia   	14.67	     	S    
Ia   	11.30	     	S    
Ia   	14.68	B    	S    
CC   	14.57	     	S    
Ia   	14.72	     	S0   
CC   	13.62	B    	S    
CC   	13.72	B    	S    
Ia   	17.69	     	S    
Ia   	13.34	B    	S    
CC   	12.89	B    	S    
CC   	14.41	     	S    
CC   	16.68	     	S    
Ia   	16.12	B    	S    
Ia   	14.24	B    	S    
CC   	16.62	     	S    
CC   	13.09	     	S    
Ia   	11.30	     	S    
Ia   	15.10	B    	S    
Ia   	13.90	B    	S    
Ia   	14.45	B    	S    
CC   	17.28	     	S    
Ia   	14.42	     	S0   
Ia   	13.78	     	S    
CC   	13.91	     	S    
Ia   	11.96	     	S    
Ia   	13.41	     	S0   
Ia   	14.82	B    	S    
CC   	14.24	     	S    
CC   	13.98	     	S    
Ia   	15.07	B    	S    
Ia   	14.26	     	E    
Ia   	13.28	     	S0   
CC   	13.79	     	S    
CC   	14.99	     	S    
CC   	15.31	B    	S    
Ia   	17.59	     	S    
Ia   	15.88	     	S0   
CC   	15.97	     	S    
Ia   	16.84	     	S    
CC   	16.89	     	S    
Ia   	11.75	     	S    
Ia   	18.58	     	S    
CC   	20.00	     	S    
Ia   	14.80	B    	S    
Ia   	19.01	     	S    
CC   	13.86	     	S    
Ia   	17.06	     	S    
Ia   	16.04	     	S    
Ia   	12.23	     	S    
CC   	13.73	     	S    
CC   	16.71	B    	S    
Ia   	11.17	     	E/S0 
CC   	14.13	B    	S    
CC   	12.70	     	S    
CC   	12.95	B    	S    
Ia   	13.78	     	E/S0 
Ia   	13.79	     	S    
CC   	14.23	     	S    
Ia   	14.01	B    	S    
Ia   	19.05	     	S    
Ia   	17.45	     	S    
CC   	18.21	     	S    
Ia   	19.30	     	S    
CC   	12.68	B    	S    
CC   	16.65	     	S    
Ia   	14.05	     	S    
CC   	12.12	     	S    
CC   	14.23	     	S    
Ia   	13.21	     	S    
Ia   	12.90	B    	S    
Ia   	16.76	     	S    
CC   	18.17	     	S    
CC   	14.92	     	S    
Ia   	11.80	B    	S    
CC   	14.88	     	S    
CC   	16.02	     	S    
Ia   	17.70	     	S    
Ia   	15.70	     	S    
Ia   	14.20	     	S    
Ia   	17.02	     	S    
Ia   	16.17	     	S    
Ia   	14.53	     	E    
Ia   	13.37	     	E/S0 
Ia   	16.96	     	S    
Ia   	16.11	     	S    
Ia   	17.84	     	S    
CC   	13.55	     	S    
CC   	12.95	     	S    
CC   	13.21	B    	S    
CC   	14.29	     	S    
CC   	14.22	B    	S    
CC   	13.48	     	S    
CC   	14.06	     	S    
CC   	13.70	     	S    
Ia   	15.11	     	S    
Ia   	13.04	     	S    
CC   	14.04	     	S    
CC   	15.64	     	S    
