SNtype	mag_g	bar	Galtype2
CC   	18.13	     	Im   
Ia   	17.45	     	S0   
Ia   	17.97	     	S    
CC   	16.94	B    	S    
Ia   	16.88	     	E    
CC   	20.00	     	S    
CC   	18.17	     	S    
CC   	15.08	B    	S    
CC   	16.03	B    	S    
CC   	16.59	     	S    
Ia   	16.00	     	S    
CC   	18.05	     	S    
Ia   	16.57	     	S    
Ia   	15.02	     	S0   
Ia   	14.64	B    	S    
CC   	16.10	     	S    
Ia   	14.70	     	S    
Ia   	15.54	     	S    
CC   	16.96	     	S    
CC   	16.32	B    	S    
CC   	17.00	     	S    
CC   	18.05	     	S    
CC   	13.48	     	S    
Ia   	15.22	     	E    
Ia   	19.01	     	S    
Ia   	17.32	     	S    
CC   	16.47	     	S    
CC   	17.43	     	S    
Ia   	18.64	     	S    
Ia   	18.88	     	S    
CC   	16.73	     	S    
Ia   	11.24	     	S0   
CC   	15.68	     	S    
CC   	18.05	     	S    
CC   	17.43	     	S    
Ia   	17.06	     	S    
Ia   	17.73	     	S    
Ia   	17.64	B    	S    
CC   	13.51	     	S    
CC   	18.37	     	S    
CC   	14.15	     	S    
CC   	15.80	     	S    
Ia   	17.63	     	S    
Ia   	14.02	B    	S0   
Ia   	16.46	     	S    
CC   	16.09	B    	S    
CC   	16.98	     	S    
Ia   	17.26	     	S    
CC   	16.48	     	S    
Ia   	18.11	     	S    
Ia   	18.61	B    	S    
Ia   	17.93	     	S    
CC   	18.15	     	S    
Ia   	17.87	     	S    
CC   	16.04	     	S    
CC   	14.10	     	S    
Ia   	16.06	     	S    
Ia   	14.59	     	S    
CC   	17.92	     	S    
Ia   	17.77	     	S    
Ia   	18.44	B    	S    
Ia   	15.28	     	E/S0 
Ia   	21.31	     	S    
CC   	19.72	     	S    
Ia   	19.49	     	S    
Ia   	17.86	     	S    
Ia   	19.80	     	S    
Ia   	15.78	B    	S    
Ia   	17.84	     	S    
CC   	13.77	     	S    
Ia   	14.41	B    	S    
Ia   	19.05	B    	S    
CC   	16.75	     	S    
CC   	16.46	     	S    
CC   	17.48	     	S    
CC   	14.87	     	S    
Ia   	17.93	     	S    
Ia   	12.33	     	S    
Ia   	15.56	     	E    
Ia   	18.52	B    	S    
CC   	16.88	     	S    
Ia   	19.80	     	S    
Ia   	18.25	     	S    
Ia   	17.53	     	S    
CC   	15.33	     	S    
Ia   	13.85	     	S    
Ia   	18.84	     	S    
CC   	16.02	     	S    
Ia   	19.42	     	S    
Ia   	19.30	     	S    
Ia   	18.58	     	S    
Ia   	18.32	     	E    
Ia   	17.83	     	S    
Ia   	16.87	     	S    
Ia   	19.72	     	S    
Ia   	14.30	B    	S    
CC   	17.80	     	S    
Ia   	19.49	     	S    
Ia   	14.48	     	E    
Ia   	14.16	B    	S    
Ia   	16.33	     	S0   
Ia   	18.52	     	S    
Ia   	16.95	     	E/S0 
Ia   	18.92	     	S    
Ia   	18.34	     	S    
Ia   	19.25	     	S    
Ia   	18.67	     	S    
Ia   	18.30	     	S    
Ia   	17.87	     	S    
Ia   	17.36	     	S    
CC   	17.25	B    	S    
Ia   	17.73	     	S    
Ia   	17.87	     	S    
CC   	18.58	     	S    
CC   	17.59	     	S    
Ia   	14.01	     	S    
Ia   	17.65	     	S    
Ia   	17.60	     	S    
Ia   	17.22	B    	S    
Ia   	18.96	     	S    
Ia   	16.47	B    	S    
CC   	14.11	     	S    
Ia   	14.38	     	S    
Ia   	13.77	     	S0   
Ia   	18.04	     	S    
Ia   	18.15	     	S    
CC   	14.97	     	S    
Ia   	14.93	     	S0   
Ia   	13.66	     	S    
Ia   	18.49	     	S    
Ia   	14.18	     	S    
CC   	17.48	     	S    
CC   	17.08	     	S    
CC   	14.07	B    	S    
Ia   	19.05	     	S    
CC   	17.40	     	S    
Ia   	15.88	B    	S    
CC   	12.58	     	S    
Ia   	17.08	     	S0   
CC   	14.83	     	S    
Ia   	18.61	     	S    
Ia   	17.59	     	S    
Ia   	13.62	     	S0   
Ia   	15.60	     	S0   
Ia   	14.35	     	E/S0 
CC   	13.64	B    	S    
CC   	15.28	     	S0   
CC   	14.14	     	S    
CC   	14.93	B    	S    
Ia   	15.51	B    	S    
Ia   	13.47	     	E    
CC   	12.16	B    	S    
Ia   	12.52	     	S    
CC   	16.32	B    	S    
CC   	14.14	B    	S    
CC   	13.96	B    	S    
CC   	13.90	     	S    
Ia   	17.12	     	S    
Ia   	18.05	B    	S    
CC   	13.21	     	S    
Ia   	14.81	     	S0   
Ia   	13.88	B    	S    
Ia   	16.77	B    	S    
CC   	12.58	     	S    
Ia   	12.33	     	S0   
Ia   	16.52	     	S    
CC   	14.22	B    	S    
Ia   	14.17	B    	S    
Ia   	14.28	     	S0   
CC   	13.72	B    	S    
CC   	15.41	     	Im   
Ia   	14.24	     	S0   
Ia   	12.58	     	S    
Ia   	13.41	     	S0   
Ia   	14.21	B    	S    
CC   	15.48	     	S    
Ia   	15.45	     	S    
Ia   	14.36	     	S    
CC   	14.17	     	S    
CC   	13.98	B    	S    
Ia   	13.59	B    	S0   
Ia   	14.02	B    	S    
Ia   	13.56	     	E/S0 
Ia   	13.70	     	E/S0 
Ia   	18.34	     	S    
CC   	17.33	     	S    
CC   	15.75	     	S    
CC   	16.45	B    	S    
CC   	17.19	     	S    
CC   	15.11	     	S    
CC   	14.55	B    	S    
CC   	13.26	B    	S    
Ia   	14.55	     	E    
Ia   	17.90	     	S    
CC   	16.75	     	S    
Ia   	17.76	     	S    
Ia   	16.76	     	E    
CC   	11.58	     	S    
Ia   	19.10	     	S    
CC   	14.28	     	S    
Ia   	14.13	     	S    
Ia   	14.86	     	S    
CC   	12.92	     	S    
Ia   	16.75	     	S0   
CC   	14.21	B    	S    
Ia   	12.79	     	S0   
Ia   	17.64	     	S    
CC   	13.04	     	S    
Ia   	14.18	     	E/S0 
CC   	12.11	B    	S    
Ia   	10.74	     	S0   
CC   	15.82	     	S    
Ia   	16.18	B    	S    
Ia   	17.80	     	S    
Ia   	14.50	B    	S    
CC   	13.46	B    	S    
Ia   	14.31	     	S    
Ia   	13.90	     	E    
Ia   	12.90	B    	S    
CC   	12.38	     	S    
Ia   	17.87	     	S    
CC   	14.04	     	S    
Ia   	18.96	     	S    
Ia   	19.14	     	S    
CC   	17.29	     	S    
CC   	18.61	     	S    
CC   	16.17	     	S    
CC   	16.40	B    	S    
Ia   	15.33	     	S    
Ia   	19.01	     	S    
Ia   	19.42	     	S    
Ia   	17.72	     	S    
Ia   	18.19	     	S    
Ia   	19.45	     	S    
CC   	19.30	     	S    
CC   	16.33	     	S    
Ia   	13.25	     	S    
Ia   	16.71	B    	S    
Ia   	14.51	     	S0   
CC   	11.00	     	S    
Ia   	15.54	B    	S    
Ia   	14.09	     	S0   
Ia   	16.76	     	S0   
Ia   	17.05	     	S0   
CC   	10.79	     	S    
Ia   	14.91	B    	S    
Ia   	13.18	     	E    
Ia   	14.37	     	S0   
CC   	17.66	     	S    
Ia   	13.01	     	E    
Ia   	17.81	B    	S    
Ia   	15.90	     	S    
Ia   	16.61	     	S    
Ia   	17.62	     	S    
CC   	16.56	     	S0   
Ia   	13.21	     	S    
Ia   	13.14	     	E    
Ia   	16.25	     	E/S0 
Ia   	12.76	     	E/S0 
CC   	15.28	     	S    
Ia   	13.32	     	S0   
Ia   	17.58	     	S    
Ia   	19.63	     	S    
CC   	10.92	     	S    
CC   	13.60	     	S    
Ia   	15.36	     	E/S0 
Ia   	14.67	B    	S0   
Ia   	13.90	     	E    
CC   	14.28	     	S    
Ia   	14.58	     	E/S0 
Ia   	13.73	     	E    
Ia   	14.21	B    	S0   
Ia   	18.77	     	Im   
Ia   	16.11	B    	S    
Ia   	18.27	     	E    
CC   	14.48	     	S    
Ia   	13.84	     	S    
Ia   	15.89	     	S    
Ia   	12.74	B    	S    
Ia   	12.33	     	S    
CC   	14.53	     	S    
Ia   	15.63	B    	S0   
CC   	16.38	     	S    
CC   	11.21	B    	S    
Ia   	16.39	     	S    
CC   	13.70	B    	S    
CC   	14.56	     	S    
Ia   	20.11	     	S    
Ia   	14.83	B    	S    
Ia   	14.09	     	S    
CC   	17.57	     	S    
Ia   	15.98	     	E    
Ia   	17.80	     	S    
CC   	14.00	     	S    
Ia   	17.54	     	S    
CC   	11.34	     	S    
Ia   	18.40	     	S    
Ia   	20.16	     	S    
Ia   	16.92	B    	S0   
Ia   	13.99	     	S    
Ia   	21.17	     	S    
Ia   	19.28	     	S    
Ia   	18.02	B    	S    
Ia   	14.04	B    	S    
Ia   	13.51	     	S    
Ia   	16.90	     	S    
CC   	16.67	     	S    
Ia   	13.67	B    	S    
CC   	18.96	     	S    
Ia   	19.01	B    	S    
CC   	20.20	     	S    
Ia   	17.79	     	E    
CC   	15.07	     	S    
Ia   	13.96	     	S0   
Ia   	14.64	     	S    
Ia   	16.91	     	S    
CC   	14.15	B    	S    
CC   	14.91	     	S    
Ia   	16.05	     	S    
Ia   	13.55	B    	S    
CC   	18.20	     	S    
Ia   	18.96	     	S    
CC   	19.11	     	S    
Ia   	18.13	     	S    
Ia   	14.73	     	E/S0 
CC   	13.50	B    	S    
CC   	14.66	B    	S    
CC   	18.63	     	S    
Ia   	15.63	B    	S0   
Ia   	19.35	     	Im   
CC   	14.56	     	S    
Ia   	14.79	     	S    
Ia   	15.58	     	E/S0 
CC   	12.95	     	S    
Ia   	12.66	     	E    
Ia   	17.68	B    	S    
Ia   	10.64	     	S    
Ia   	14.48	     	S    
CC   	15.86	B    	S    
CC   	15.11	     	S    
CC   	16.62	     	S    
Ia   	15.48	     	S    
Ia   	20.99	     	S    
CC   	13.69	B    	S    
Ia   	11.97	     	S    
Ia   	15.94	B    	S    
Ia   	15.31	     	S    
CC   	14.16	     	S    
Ia   	15.37	     	S    
Ia   	18.51	B    	S    
Ia   	13.27	     	S    
CC   	14.72	     	S    
CC   	13.98	     	S    
CC   	15.10	     	S    
Ia   	18.96	     	S    
Ia   	13.81	     	S    
Ia   	15.26	B    	S    
CC   	14.27	     	S    
Ia   	17.14	     	S0   
CC   	15.38	     	S    
Ia   	14.19	     	S    
CC   	16.61	     	Im   
CC   	13.20	B    	S    
CC   	14.28	     	S    
CC   	14.49	B    	S    
Ia   	13.95	B    	S    
Ia   	15.83	     	S    
CC   	13.66	     	S    
Ia   	17.09	     	S    
CC   	13.91	     	S    
CC   	14.66	     	S    
Ia   	15.04	B    	S    
Ia   	14.51	     	S    
Ia   	14.48	     	E    
Ia   	14.18	     	S0   
CC   	14.39	B    	S    
CC   	18.37	     	Im   
CC   	13.61	     	S    
Ia   	15.28	     	E/S0 
Ia   	15.40	     	S    
Ia   	15.26	B    	S0   
Ia   	18.61	     	S0   
Ia   	15.53	B    	S    
Ia   	21.05	     	S    
Ia   	17.86	     	S    
Ia   	19.48	     	Im   
Ia   	15.32	     	S    
CC   	14.40	     	S    
Ia   	14.93	     	S    
Ia   	14.68	     	S0   
Ia   	16.83	     	S    
Ia   	14.07	B    	S    
CC   	15.05	     	S    
Ia   	13.85	     	S    
Ia   	14.55	     	S    
Ia   	14.28	     	S    
Ia   	15.45	B    	S    
CC   	15.35	     	S    
CC   	15.26	     	S    
CC   	14.45	     	S    
Ia   	13.82	     	S    
CC   	14.27	     	S    
CC   	14.83	     	S    
Ia   	14.00	     	S    
Ia   	17.23	     	E/S0 
CC   	14.08	B    	S    
Ia   	14.42	     	E/S0 
CC   	15.23	     	S    
