SNtype	mag_g	bar	Galtype2
Ib   	16.51	     	S    
II   	11.80	B    	S    
II   	13.03	     	S    
Ia   	12.33	     	E    
Ia   	14.14	     	S0   
Ia   	14.98	     	S0   
II   	14.08	     	S    
Ia   	12.75	     	S0   
Ia   	13.03	     	S0   
Ia   	14.77	B    	S    
Ia   	13.68	     	S    
Ia   	14.57	B    	S    
Ia   	17.68	B    	S    
Ia   	11.58	     	S    
II   	17.90	     	S    
II   	14.75	     	S    
IIn  	17.35	     	S    
II   	15.20	B    	S    
II   	19.05	     	S    
II   	16.26	     	S    
Ia   	15.26	     	S    
Ia   	15.38	     	S0   
Ia   	13.04	     	E    
Ic   	14.04	     	S    
IIn  	14.26	     	S    
Ia   	15.22	     	S    
Ia   	13.90	     	S0   
Ia   	16.38	     	S    
Ia   	15.15	     	S    
II   	14.22	B    	S    
Ia   	17.89	     	S    
Ia   	16.18	     	S0   
Ia   	18.47	     	S    
Ia   	16.03	     	S    
Ia   	17.07	B    	S    
II   	17.63	     	S    
Ia   	17.92	     	S    
Ia   	18.52	     	S    
Ia   	18.27	     	S    
II   	16.26	     	S    
Ib   	18.34	     	S    
Ia   	17.73	     	Im   
Ib/c 	19.63	     	S    
Ia   	18.58	     	S    
II   	17.43	     	S    
Ia   	17.29	     	S    
Ia   	17.86	     	S    
II   	18.13	     	Im   
Ia   	17.45	     	S0   
Ia   	17.97	     	S    
II   	16.94	B    	S    
Ia   	16.88	     	E    
Ib/c 	20.00	     	S    
II   	18.17	     	S    
II   	15.08	B    	S    
II   	16.03	B    	S    
II   	16.59	     	S    
Ia   	16.00	     	S    
II   	18.05	     	S    
Ia   	16.57	     	S    
Ia   	15.02	     	S0   
Ia   	14.64	B    	S    
II   	16.10	     	S    
Ia   	14.70	     	S    
Ia   	15.54	     	S    
II   	16.96	     	S    
Ib/c 	16.32	B    	S    
II   	17.00	     	S    
II   	18.05	     	S    
II   	13.48	     	S    
Ia   	15.22	     	E    
Ia   	19.01	     	S    
IIn  	19.36	     	S    
Ia   	17.32	     	S    
II   	16.47	     	S    
II   	17.43	     	S    
Ia   	18.64	     	S    
Ia   	18.88	     	S    
II   	16.73	     	S    
Ia   	11.24	     	S0   
Ib/c 	15.68	     	S    
II   	18.05	     	S    
II   	17.43	     	S    
Ia   	17.06	     	S    
Ia   	17.73	     	S    
Ia   	17.64	B    	S    
II   	13.51	     	S    
IIn  	17.77	B    	S    
II   	18.37	     	S    
Ib/c 	14.15	     	S    
II   	15.80	     	S    
Ia   	17.63	     	S    
Ia   	14.02	B    	S0   
Ia   	16.46	     	S    
II   	16.09	B    	S    
Ib/c 	16.98	     	S    
Ia   	17.26	     	S    
II   	16.48	     	S    
Ia   	18.11	     	S    
Ia   	18.61	B    	S    
Ia   	17.93	     	S    
Ic   	18.15	     	S    
Ia   	17.87	     	S    
II   	16.04	     	S    
II   	14.10	     	S    
Ia   	16.06	     	S    
Ia   	14.59	     	S    
II   	17.92	     	S    
Ia   	17.77	     	S    
Ia   	18.44	B    	S    
Ia   	15.28	     	E/S0 
Ia   	21.31	     	S    
IIn  	19.36	     	S    
II   	19.72	     	S    
Ia   	19.49	     	S    
Ia   	17.86	     	S    
Ia   	19.80	     	S    
IIn  	14.47	B    	S    
Ia   	15.78	B    	S    
Ia   	17.84	     	S    
Ib/c 	13.77	     	S    
Ia   	14.41	B    	S    
Ia   	19.05	B    	S    
II   	16.75	     	S    
II   	16.46	     	S    
II   	17.48	     	S    
II   	14.87	     	S    
Ia   	17.93	     	S    
Ia   	12.33	     	S    
Ia   	15.56	     	E    
Ia   	18.52	B    	S    
II   	16.88	     	S    
Ia   	19.80	     	S    
Ia   	18.25	     	S    
Ia   	17.53	     	S    
II   	15.33	     	S    
Ia   	13.85	     	S    
Ia   	18.84	     	S    
II   	16.02	     	S    
Ia   	19.42	     	S    
Ia   	19.30	     	S    
Ia   	18.58	     	S    
Ia   	18.32	     	E    
Ia   	17.83	     	S    
Ia   	16.87	     	S    
Ia   	19.72	     	S    
Ia   	14.30	B    	S    
Ib   	17.80	     	S    
Ia   	19.49	     	S    
Ia   	14.48	     	E    
Ia   	14.16	B    	S    
Ia   	16.33	     	S0   
Ia   	18.52	     	S    
Ia   	16.95	     	E/S0 
Ia   	18.92	     	S    
Ia   	18.34	     	S    
Ia   	19.25	     	S    
Ia   	18.67	     	S    
Ia   	18.30	     	S    
Ia   	17.87	     	S    
Ia   	17.36	     	S    
II   	17.25	B    	S    
Ia   	17.73	     	S    
Ia   	17.87	     	S    
II   	18.58	     	S    
Ib   	17.59	     	S    
Ia   	14.01	     	S    
Ia   	17.65	     	S    
Ia   	17.60	     	S    
Ia   	17.22	B    	S    
Ia   	18.96	     	S    
IIn  	13.74	     	S    
Ia   	16.47	B    	S    
Ic   	14.11	     	S    
Ia   	14.38	     	S    
Ia   	13.77	     	S0   
Ia   	18.04	     	S    
Ia   	18.15	     	S    
Ib/c 	14.97	     	S    
Ia   	14.93	     	S0   
Ia   	13.66	     	S    
Ia   	18.49	     	S    
Ia   	14.18	     	S    
II   	17.48	     	S    
II   	17.08	     	S    
II   	14.07	B    	S    
Ia   	19.05	     	S    
II   	17.40	     	S    
Ia   	15.88	B    	S    
Ib   	12.58	     	S    
Ia   	17.08	     	S0   
II   	14.83	     	S    
Ia   	18.61	     	S    
Ia   	17.59	     	S    
Ia   	13.62	     	S0   
Ia   	15.60	     	S0   
Ia   	14.35	     	E/S0 
IIn  	14.92	B    	S    
II   	13.64	B    	S    
II   	15.28	     	S0   
Ic   	14.14	     	S    
Ic   	14.93	B    	S    
Ia   	15.51	B    	S    
IIn  	13.63	     	S    
Ia   	13.47	     	E    
II   	12.16	B    	S    
Ia   	12.52	     	S    
II   	16.32	B    	S    
II   	14.14	B    	S    
IIn  	15.91	     	S    
II   	13.96	B    	S    
Ib   	13.90	     	S    
Ia   	17.12	     	S    
Ia   	18.05	B    	S    
IIn  	18.34	     	S    
II   	13.21	     	S    
Ia   	14.81	     	S0   
Ia   	13.88	B    	S    
Ia   	16.77	B    	S    
Ib   	12.58	     	S    
Ia   	12.33	     	S0   
Ia   	16.52	     	S    
Ic   	14.22	B    	S    
Ia   	14.17	B    	S    
Ia   	14.28	     	S0   
Ic   	13.72	B    	S    
II   	15.41	     	Im   
Ia   	14.24	     	S0   
Ia   	12.58	     	S    
Ia   	13.41	     	S0   
Ia   	14.21	B    	S    
II   	15.48	     	S    
IIn  	15.73	B    	S    
Ia   	15.45	     	S    
Ia   	14.36	     	S    
II   	14.17	     	S    
Ic   	13.98	B    	S    
Ia   	13.59	B    	S0   
Ia   	14.02	B    	S    
Ia   	13.56	     	E/S0 
Ia   	13.70	     	E/S0 
Ia   	18.34	     	S    
IIn  	14.44	B    	S    
Ib/c 	17.33	     	S    
Ic   	15.75	     	S    
Ib/c 	16.45	B    	S    
II   	17.19	     	S    
II   	15.11	     	S    
II   	14.55	B    	S    
Ic   	13.26	B    	S    
Ia   	14.55	     	E    
IIn  	14.85	     	S    
Ia   	17.90	     	S    
II   	16.75	     	S    
Ia   	17.76	     	S    
Ia   	16.76	     	E    
II   	11.58	     	S    
Ia   	19.10	     	S    
Ic   	14.28	     	S    
Ia   	14.13	     	S    
Ia   	14.86	     	S    
Ic   	12.92	     	S    
Ia   	16.75	     	S0   
Ib   	14.21	B    	S    
Ia   	12.79	     	S0   
Ia   	17.64	     	S    
II   	13.04	     	S    
IIn  	14.07	     	S    
Ia   	14.18	     	E/S0 
II   	12.11	B    	S    
Ia   	10.74	     	S0   
II   	15.82	     	S    
Ia   	16.18	B    	S    
Ia   	17.80	     	S    
Ia   	14.50	B    	S    
II   	13.46	B    	S    
Ia   	14.31	     	S    
Ia   	13.90	     	E    
Ia   	12.90	B    	S    
II   	12.38	     	S    
Ia   	17.87	     	S    
II   	14.04	     	S    
Ia   	18.96	     	S    
Ia   	19.14	     	S    
Ic   	17.29	     	S    
II   	18.61	     	S    
II   	16.17	     	S    
II   	16.40	B    	S    
Ia   	15.33	     	S    
Ia   	19.01	     	S    
Ia   	19.42	     	S    
Ia   	17.72	     	S    
Ia   	18.19	     	S    
Ia   	19.45	     	S    
II   	19.30	     	S    
II   	16.33	     	S    
Ia   	13.25	     	S    
Ia   	16.71	B    	S    
Ia   	14.51	     	S0   
II   	11.00	     	S    
Ia   	15.54	B    	S    
Ia   	14.09	     	S0   
Ia   	16.76	     	S0   
Ia   	17.05	     	S0   
Ic   	10.79	     	S    
Ia   	14.91	B    	S    
IIn  	15.51	     	S    
Ia   	13.18	     	E    
Ia   	14.37	     	S0   
Ib   	17.66	     	S    
Ia   	13.01	     	E    
Ia   	17.81	B    	S    
Ia   	15.90	     	S    
Ia   	16.61	     	S    
Ia   	17.62	     	S    
II   	16.56	     	S0   
Ia   	13.21	     	S    
Ia   	13.14	     	E    
IIn  	14.43	     	S    
Ia   	16.25	     	E/S0 
Ia   	12.76	     	E/S0 
II   	15.28	     	S    
Ia   	13.32	     	S0   
Ia   	17.58	     	S    
Ia   	19.63	     	S    
II   	10.92	     	S    
Ib   	13.60	     	S    
Ia   	15.36	     	E/S0 
Ia   	14.67	B    	S0   
Ia   	13.90	     	E    
II   	14.28	     	S    
Ia   	14.58	     	E/S0 
Ia   	13.73	     	E    
Ia   	14.21	B    	S0   
Ia   	18.77	     	Im   
Ia   	16.11	B    	S    
Ia   	18.27	     	E    
Ic   	14.48	     	S    
Ia   	13.84	     	S    
Ia   	15.89	     	S    
Ia   	12.74	B    	S    
Ia   	12.33	     	S    
II   	14.53	     	S    
Ia   	15.63	B    	S0   
II   	16.38	     	S    
Ib   	11.21	B    	S    
Ia   	16.39	     	S    
II   	13.70	B    	S    
II   	14.56	     	S    
Ia   	20.11	     	S    
Ia   	14.83	B    	S    
Ia   	14.09	     	S    
II   	17.57	     	S    
Ia   	15.98	     	E    
Ia   	17.80	     	S    
Ic   	14.00	     	S    
Ia   	17.54	     	S    
II   	11.34	     	S    
Ia   	18.40	     	S    
Ia   	20.16	     	S    
Ia   	16.92	B    	S0   
Ia   	13.99	     	S    
Ia   	21.17	     	S    
Ia   	19.28	     	S    
Ia   	18.02	B    	S    
Ia   	14.04	B    	S    
Ia   	13.51	     	S    
IIn  	17.44	     	S    
Ia   	16.90	     	S    
Ic   	16.67	     	S    
Ia   	13.67	B    	S    
II   	18.96	     	S    
Ia   	19.01	B    	S    
Ic   	20.20	     	S    
Ia   	17.79	     	E    
Ic   	15.07	     	S    
Ia   	13.96	     	S0   
Ia   	14.64	     	S    
Ia   	16.91	     	S    
Ib/c 	14.15	B    	S    
II   	14.91	     	S    
Ia   	16.05	     	S    
Ia   	13.55	B    	S    
II   	18.20	     	S    
Ia   	18.96	     	S    
Ic   	19.11	     	S    
Ia   	18.13	     	S    
Ia   	14.73	     	E/S0 
IIn  	14.26	B    	S    
II   	13.50	B    	S    
II   	14.66	B    	S    
Ib   	18.63	     	S    
Ia   	15.63	B    	S0   
Ia   	19.35	     	Im   
II   	14.56	     	S    
Ia   	14.79	     	S    
Ia   	15.58	     	E/S0 
Ic   	12.95	     	S    
Ia   	12.66	     	E    
Ia   	17.68	B    	S    
Ia   	10.64	     	S    
Ia   	14.48	     	S    
II   	15.86	B    	S    
Ic   	15.11	     	S    
II   	16.62	     	S    
Ia   	15.48	     	S    
Ia   	20.99	     	S    
II   	13.69	B    	S    
Ia   	11.97	     	S    
Ia   	15.94	B    	S    
Ia   	15.31	     	S    
Ic   	14.16	     	S    
Ia   	15.37	     	S    
Ia   	18.51	B    	S    
Ia   	13.27	     	S    
II   	14.72	     	S    
Ib/c 	13.98	     	S    
II   	15.10	     	S    
Ia   	18.96	     	S    
Ia   	13.81	     	S    
Ia   	15.26	B    	S    
II   	14.27	     	S    
Ia   	17.14	     	S0   
II   	15.38	     	S    
Ia   	14.19	     	S    
II   	16.61	     	Im   
II   	13.20	B    	S    
Ib   	14.28	     	S    
Ib   	14.49	B    	S    
Ia   	13.95	B    	S    
Ia   	15.83	     	S    
Ic   	13.66	     	S    
Ia   	17.09	     	S    
Ic   	13.91	     	S    
Ib/c 	14.66	     	S    
Ia   	15.04	B    	S    
Ia   	14.51	     	S    
Ia   	14.48	     	E    
Ia   	14.18	     	S0   
Ic   	14.39	B    	S    
IIn  	18.99	     	S    
II   	18.37	     	Im   
Ib   	13.61	     	S    
Ia   	15.28	     	E/S0 
Ia   	15.40	     	S    
Ia   	15.26	B    	S0   
Ia   	18.61	     	S0   
Ia   	15.53	B    	S    
Ia   	21.05	     	S    
Ia   	17.86	     	S    
Ia   	19.48	     	Im   
Ia   	15.32	     	S    
II   	14.40	     	S    
Ia   	14.93	     	S    
Ia   	14.68	     	S0   
Ia   	16.83	     	S    
IIn  	14.39	B    	S    
Ia   	14.07	B    	S    
II   	15.05	     	S    
Ia   	13.85	     	S    
Ia   	14.55	     	S    
Ia   	14.28	     	S    
Ia   	15.45	B    	S    
Ib/c 	15.35	     	S    
Ic   	15.26	     	S    
II   	14.45	     	S    
Ia   	13.82	     	S    
II   	14.27	     	S    
II   	14.83	     	S    
Ia   	14.00	     	S    
Ia   	17.23	     	E/S0 
II   	14.08	B    	S    
Ia   	14.42	     	E/S0 
II   	15.23	     	S    
