SNtype	mag_g	bar	Galtype2
IIn  	12.21	     	S    
Ic   	12.14	B    	S    
II   	13.57	     	S    
Ib/c 	11.25	B    	S    
Ia   	14.71	B    	S    
Ia   	15.21	B    	S    
Ia   	11.89	     	S    
II   	12.40	     	S    
Ia   	15.33	     	S0   
II   	15.13	     	Im   
II   	14.17	B    	S    
Ib   	12.52	     	S    
Ia   	16.50	     	S    
Ia   	17.87	     	S    
Ia   	14.75	     	S0   
Ia   	18.58	     	S    
Ia   	12.43	     	S    
Ia   	15.49	     	S    
IIn  	14.65	     	S    
Ia   	12.46	     	S    
Ia   	12.53	     	S0   
Ia   	14.07	     	S    
II   	12.96	     	S    
Ia   	13.71	     	S    
Ia   	15.44	     	S    
Ia   	17.78	     	S    
Ic   	13.12	B    	S    
Ia   	16.27	     	E    
II   	14.49	     	S    
IIn  	11.53	     	S    
II   	12.51	     	S    
II   	13.09	     	S    
II   	16.94	     	S    
Ia   	15.93	B    	S    
II   	14.07	B    	S    
II   	17.22	     	S    
Ia   	17.37	     	S0   
II   	17.98	     	S    
Ia   	18.52	     	S    
Ia   	14.37	     	S    
II   	13.62	B    	S    
Ia   	13.83	B    	S    
Ia   	16.92	     	S    
Ic   	12.91	B    	S    
Ia   	15.16	B    	S    
II   	13.50	     	S    
Ia   	14.78	     	S    
Ia   	13.71	     	S    
II   	11.54	     	S    
Ia   	14.02	B    	S    
Ia   	 9.96	     	S    
Ia   	14.73	     	S    
Ic   	15.55	B    	S    
Ia   	14.19	     	S    
Ia   	12.39	     	E    
II   	15.05	B    	S    
Ia   	13.74	     	E    
II   	13.49	     	S    
Ib   	13.28	     	S    
Ia   	14.10	     	S    
Ia   	14.41	     	S    
IIn  	13.57	     	S    
Ia   	14.98	B    	S    
Ia   	13.76	B    	S    
II   	15.78	     	S    
II   	14.71	     	S    
Ia   	16.58	     	E/S0 
II   	13.31	B    	S    
II   	11.14	     	S    
II   	13.69	     	S    
IIn  	12.70	     	S    
Ia   	13.98	     	S    
II   	12.30	B    	S    
Ia   	13.53	     	E    
II   	14.62	     	S    
Ia   	13.92	     	S    
II   	12.33	     	S    
II   	13.96	     	S    
II   	12.50	B    	S    
Ia   	16.14	     	S    
II   	15.57	B    	S    
Ib/c 	16.90	     	S    
Ia   	15.54	B    	S    
IIn  	15.68	B    	S    
Ia   	15.27	     	S    
II   	14.86	B    	S    
IIn  	13.27	     	S    
II   	14.87	     	S    
Ia   	17.26	     	S0   
Ic   	12.51	     	S    
II   	13.26	     	S    
Ia   	13.93	B    	S    
II   	14.22	B    	S    
Ia   	16.43	     	S    
II   	15.63	B    	S    
Ia   	17.24	     	S    
II   	14.81	     	S    
Ic   	12.16	     	S    
IIn  	15.66	B    	S    
Ia   	14.83	B    	S    
Ia   	14.85	     	S    
II   	13.92	     	S    
Ib   	13.38	     	S    
Ia   	15.58	     	S0   
Ia   	15.46	B    	S    
Ia   	13.51	     	E    
Ia   	14.69	     	E    
Ia   	14.60	B    	S    
II   	15.09	     	S    
Ib   	10.54	     	S0   
II   	13.07	     	S    
Ib   	12.98	     	S    
Ia   	13.68	     	S    
Ia   	13.77	     	S0   
II   	13.74	     	S    
Ia   	16.91	     	S    
IIn  	14.31	B    	S    
Ic   	11.08	     	S    
Ia   	13.68	     	S    
II   	12.52	     	S    
Ic   	13.41	B    	S    
Ia   	15.97	     	S    
II   	14.10	     	S    
Ib   	14.12	     	S    
Ia   	14.76	     	S    
Ia   	18.34	     	S    
Ia   	16.98	     	S    
II   	13.80	B    	S    
II   	14.93	B    	S    
Ia   	15.29	     	S0   
II   	13.74	B    	S    
Ia   	14.51	B    	S    
Ia   	10.90	     	E    
II   	14.15	B    	S    
II   	13.89	B    	S    
II   	14.01	B    	S    
II   	15.76	B    	S    
Ic   	13.59	     	S    
II   	14.67	     	S    
II   	15.72	     	S0   
Ia   	14.82	     	S    
Ia   	15.59	B    	S    
Ia   	12.63	     	S    
II   	19.72	     	S    
Ia   	17.76	     	S    
Ia   	14.46	     	S0   
Ic   	15.05	     	S    
Ia   	14.58	B    	S    
II   	13.50	B    	S    
II   	12.93	     	S    
II   	14.13	B    	S    
II   	13.43	     	S    
II   	14.31	B    	S    
Ia   	14.51	B    	S    
Ia   	16.02	     	S    
Ia   	15.14	     	S    
Ia   	10.90	B    	S    
Ic   	13.68	B    	S    
II   	16.35	     	S    
II   	15.54	     	S    
II   	15.30	     	S    
Ia   	12.47	     	S    
Ia   	15.84	     	S    
Ia   	12.86	     	S    
Ib/c 	15.06	     	S    
Ia   	13.71	B    	S    
