#SNtype	mag_g	bar	Galtype2	prob
Ia           13.78                     E            0.0004310801
CC           14.91                     S            0.5220034646
Ia           14.67                     S            0.5392571033
CC           12.90        B            S            0.5984757219
Ia           15.92                     S            0.4491744596
Ia           13.80                     S            0.6008266424
Ia           15.35                     S            0.4902271736
CC           15.54                     S            0.4765012487
Ia           17.84                     S            0.3190281754
CC           13.38        B            S            0.5647417851
CC           17.13                     S            0.3650673796
CC           13.46                     S            0.6241621873
Ia           14.96                     S            0.5184046946
Ia           12.38                     S            0.6940361628
Ia           14.95                     S0           0.0617233134
CC           16.34                     S            0.4193898194
CC           16.71                     S            0.3936063127
Ia           12.50        B            S0           0.0922638127
CC           13.30                     S            0.6349324709
CC           13.63                     S            0.6125758109
CC           18.61                     S            0.2727596581
Ia           13.63        B            S            0.5468745457
Ia           16.07                     S            0.4384769823
Ia           15.32                     S            0.4923947915
Ia           17.16                     S            0.3630496021
CC           11.35        B            S            0.6999775461
Ia           12.09                     E            0.0007018756
CC           14.84        B            S            0.4596690191
CC           14.70                     S            0.5371058671
Ia           11.49                     S0           0.1515797824
Ia           16.36        B            S            0.3541503727
Ia           15.98                     S0           0.0465548122
CC           10.92                     S            0.7757314430
CC           11.81        B            S            0.6713320421
Ia           15.25                     S            0.4974378116
CC           13.14                     S            0.6455806094
Ia           20.11                     S            0.1955954685
CC           16.90        B            S            0.3193393042
Ia           12.05                     S0           0.1319632601
Ia           15.74        B            S            0.3960795566
Ia           14.99                     S            0.5162385564
Ia           12.90                     S            0.6612582281
Ia           13.96                     E            0.0004090526
CC           13.57                     S            0.6166794649
Ia           15.44                     S            0.4837314328
CC           14.27                     S            0.5678151334
CC           15.16        B            S            0.4367966710
Ia           15.20                     S            0.5010556593
Ia           13.06        B            S            0.5873232321
Ia           13.81        B            S            0.5339637572
CC           14.29        B            S            0.4993261200
CC           13.75                     S            0.6042857667
CC           16.65                     Im           0.6884436239
Ia           17.29                     S            0.3544436672
CC           13.18                     S            0.6429312381
CC           13.33        B            S            0.5682953571
CC           13.38        B            S            0.5647417851
CC           11.96                     S            0.7191895007
Ia           18.70                     S            0.2676417324
CC           14.12        B            S            0.5116139487
Ia           12.00                     S            0.7168620905
Ia           15.99                     E/S0         0.0003606021
CC           17.89                     S            0.3158991091
CC           12.14        B            S            0.6499311340
CC           13.57                     S            0.6166794649
CC           11.25        B            S            0.7060122258
Ia           14.71        B            S            0.4690334844
Ia           15.21        B            S            0.4332544508
Ia           11.89                     S            0.7232587745
CC           12.40                     S            0.6928080711
Ia           15.33                     S0           0.0556441652
CC           15.13                     Im           0.7742848035
CC           14.17        B            S            0.5080088413
CC           12.52                     S            0.6853677681
Ia           16.50                     S            0.4081994564
Ia           17.87                     S            0.3171475416
Ia           14.75                     S0           0.0651500704
Ia           18.58                     S            0.2744829952
Ia           12.43                     S            0.6909503213
Ia           15.49                     S            0.4801252130
Ia           12.46                     S            0.6890937627
Ia           12.53                     S0           0.1168545474
Ia           14.07                     S            0.5819754055
CC           12.96                     S            0.6573723592
Ia           13.71                     S            0.6070649499
Ia           15.44                     S            0.4837314328
Ia           17.78                     S            0.3227917604
CC           13.12        B            S            0.5831316417
Ia           16.27                     E            0.0002098563
CC           14.49                     S            0.5521504756
CC           12.51                     S            0.6859916141
CC           13.09                     S            0.6488725599
CC           16.94                     S            0.3778590196
Ia           15.93        B            S            0.3830775074
CC           14.07        B            S            0.5152464904
CC           17.22                     S            0.3590621168
Ia           17.37                     S0           0.0316080957
CC           17.98                     S            0.3102972803
Ia           18.52                     S            0.2779388735
Ia           14.37                     S            0.5606926435
CC           13.62        B            S            0.5475825509
Ia           13.83        B            S            0.5325239707
Ia           16.92                     S            0.3792266790
CC           12.91        B            S            0.5977808193
Ia           15.16        B            S            0.4367966710
CC           13.50                     S            0.6214482075
Ia           14.78                     S            0.5313617281
Ia           13.71                     S            0.6070649499
CC           11.54                     S            0.7430350782
Ia           14.02        B            S            0.5188486863
Ia            9.96                     S            0.8203204467
Ia           14.73                     S            0.5349441004
CC           15.55        B            S            0.4092909706
Ia           14.19                     S            0.5734952970
Ia           12.39                     E            0.0006438798
CC           15.05        B            S            0.4446209142
Ia           13.74                     E            0.0004359153
CC           13.49                     S            0.6221252288
CC           13.28                     S            0.6362701623
Ia           14.10                     S            0.5798543923
Ia           14.41                     S            0.5578447816
Ia           14.98        B            S            0.4496382953
Ia           13.76        B            S            0.5375674979
CC           15.78                     S            0.4591956913
CC           14.71                     S            0.5363808783
Ia           16.58                     E/S0         0.0003036558
CC           13.31        B            S            0.5697137511
CC           11.14                     S            0.7645004460
CC           13.69                     S            0.6084453269
Ia           13.98                     S            0.5882949792
CC           12.30        B            S            0.6393119419
Ia           13.53                     E            0.0004639157
CC           14.62                     S            0.5428500847
Ia           13.92                     S            0.5924868187
CC           12.33                     S            0.6970772127
CC           13.96                     S            0.5896968912
CC           12.50        B            S            0.6258923603
Ia           16.14                     S            0.4335081321
CC           15.57        B            S            0.4078946184
CC           16.90                     S            0.3805806409
Ia           15.54        B            S            0.4099918528
Ia           15.27                     S            0.4959997800
CC           14.86        B            S            0.4582291367
CC           14.87                     S            0.5248831373
Ia           17.26                     S0           0.0326003674
CC           12.51                     S            0.6859916141
CC           13.26                     S            0.6376056797
Ia           13.93        B            S            0.5253296342
CC           14.22        B            S            0.5044152404
Ia           16.43                     S            0.4130854133
CC           15.63        B            S            0.4037147280
Ia           17.24                     S            0.3577373602
CC           14.81                     S            0.5292124636
CC           12.16                     S            0.7073477455
Ia           14.83        B            S            0.4603931916
Ia           14.85                     S            0.5263331315
CC           13.92                     S            0.5924868187
CC           13.38                     S            0.6295691271
Ia           15.58                     S0           0.0519551188
Ia           15.46        B            S            0.4156129823
Ia           13.51                     E            0.0004665506
Ia           14.69                     E            0.0003314145
Ia           14.60        B            S            0.4769657817
CC           15.09                     S            0.5090078111
CC           10.54                     S0           0.1902452871
CC           13.07                     S            0.6501802681
CC           12.98                     S            0.6560605132
Ia           13.68                     S            0.6091358684
Ia           13.77                     S0           0.0846666485
CC           13.74                     S            0.6049810652
Ia           16.91                     S            0.3799059227
CC           11.08                     S            0.7676128496
Ia           13.68                     S            0.6091358684
CC           12.52                     S            0.6853677681
CC           13.41        B            S            0.5626016812
Ia           15.97                     S            0.4455912949
CC           14.10                     S            0.5798543923
CC           14.12                     S            0.5784409444
Ia           14.76                     S            0.5327957743
Ia           18.34                     S            0.2885030330
Ia           16.98                     S            0.3751564395
CC           13.80        B            S            0.5346860519
CC           14.93        B            S            0.4532145082
Ia           15.29                     S0           0.0562522902
CC           13.74        B            S            0.5389987706
Ia           14.51        B            S            0.4834645514
Ia           10.90                     E            0.0009877245
CC           14.15        B            S            0.5094539911
CC           13.89        B            S            0.5282006430
CC           14.01        B            S            0.5195634035
CC           15.76        B            S            0.3946914827
CC           13.59                     S            0.6153098130
CC           14.67                     S            0.5392571033
CC           15.72                     S0           0.0500069504
Ia           14.82                     S            0.5284987977
Ia           15.59        B            S            0.4065090747
Ia           12.63                     S            0.6784838216
CC           19.72                     S            0.2139343070
Ia           17.76                     S            0.3240575906
Ia           14.46                     S0           0.0704555607
CC           15.05                     S            0.5119043733
Ia           14.58        B            S            0.4784226956
CC           13.50        B            S            0.5561794253
CC           12.93                     S            0.6593178378
CC           14.13        B            S            0.5108877553
CC           13.43                     S            0.6261843246
CC           14.31        B            S            0.4978639676
Ia           14.51        B            S            0.4834645514
Ia           16.02                     S            0.4420307404
Ia           15.14                     S            0.5053984176
Ia           10.90        B            S            0.7265328870
CC           13.68        B            S            0.5433132982
CC           16.35                     S            0.4186868110
CC           15.54                     S            0.4765012487
CC           15.30                     S            0.4938396294
Ia           12.47                     S            0.6884767468
Ia           15.84                     S            0.4548873212
Ia           12.86                     S            0.6638229136
CC           15.06                     S            0.5111747481
Ia           13.71        B            S            0.5411522849
Ia           13.89                     S            0.5945824268
CC           14.37                     S            0.5606926435
Ia           17.70                     S            0.3278525481
Ia           18.88                     S            0.2575478403
Ia           17.05                     S            0.3704319818
Ia           14.35        B            S            0.4949878231
CC           15.49                     S            0.4801252130
CC           15.37                     S            0.4887722353
CC           15.02        B            S            0.4467482944
Ia           13.93        B            S            0.5253296342
CC           14.23                     S            0.5706604194
Ia           17.69                     S            0.3284820857
Ia           15.34                     S            0.4909457608
Ia           14.17                     S            0.5749139567
CC           12.49                     S            0.6872324726
Ia           14.19                     E/S0         0.0006077220
CC           14.25        B            S            0.5022253158
CC           13.92                     S            0.5924868187
CC           15.07                     S            0.5104500301
CC           14.33        B            S            0.4964196359
CC           13.62                     S            0.6132606375
Ia           18.42                     S            0.2837736546
Ia           17.07                     S            0.3690876961
Ia           18.27                     S            0.2926599019
Ia           18.21                     S            0.2962388477
Ia           17.86        B            S            0.2622724340
Ia           18.30                     S            0.2908694693
Ia           17.90                     S            0.3152650906
Ia           16.41                     E/S0         0.0003191780
Ia           17.60        B            S            0.2770751799
Ia           18.19                     S            0.2974555612
Ia           13.31                     S            0.6342575240
Ia           13.60        B            S            0.5490146699
CC           13.45                     S            0.6248335599
CC           12.52                     S            0.6853677681
CC           15.21        B            S            0.4332544508
Ia           13.98                     S            0.5882949792
CC           14.91                     S            0.5220034646
CC           14.66                     S            0.5399754934
Ia           17.26                     S            0.3564190841
CC           13.10                     S            0.6482136526
CC           14.89        B            S            0.4560668096
Ia           14.67        B            S            0.4719227160
CC           13.45                     S            0.6248335599
Ia           15.97                     S            0.4455912949
Ia           14.33        B            S            0.4964196359
Ia           15.00                     S            0.5155217761
CC           13.65                     S            0.6111953389
Ia           15.21                     S            0.5003317111
Ia           14.67                     S            0.5392571033
