RA	DEC	SNtype	mag_g	bar	redshift	Galtype2
170.25496	 34.34767	Ia       	14.76    	         	 0.03575 	S        
159.06283	 37.32422	CC       	11.64    	         	 0.00523 	S        
184.08542	 12.53006	Ia       	16.29    	B        	 0.06438 	S        
234.12120	 22.49992	Ia       	14.23    	B        	 0.01436 	S0       
190.73625	 13.25658	Ia       	11.72    	B        	 0.00328 	S        
348.91311	  7.30714	CC       	15.13    	         	 0.03420 	S        
350.68350	 23.20558	CC       	15.05    	         	 0.02846 	S        
339.87646	  8.60447	CC       	15.44    	         	 0.02476 	S        
178.46998	 33.36336	CC       	14.07    	B        	 0.01070 	S        
191.29083	 -6.31731	Ia       	14.68    	B        	 0.01070 	S        
209.84013	 19.68507	Ia       	16.36    	         	 0.06263 	S        
261.78201	 29.47231	Ia       	15.47    	         	 0.02239 	S        
216.97996	 16.20569	Ia       	15.13    	         	 0.05281 	S0       
247.43708	 41.77861	Ia       	15.21    	B        	 0.03139 	S        
209.20258	 37.79214	Ia       	13.01    	B        	 0.00996 	S        
250.46129	 37.73637	Ia       	15.70    	         	 0.06103 	S        
 10.98617	  1.85376	CC       	13.99    	         	 0.01522 	S        
 17.66830	 16.60681	Ia       	15.10    	B        	 0.04105 	S        
 11.82904	 40.54110	Ia       	15.97    	         	 0.05003 	S        
 36.31496	 24.26386	CC       	15.17    	         	 0.03239 	S        
 50.19025	 -1.04644	Ia       	14.42    	         	 0.02140 	S        
200.93304	 31.56408	Ia       	12.91    	         	 0.01618 	E        
173.16930	  5.34200	CC       	16.69    	         	 0.02813 	S        
198.15656	 12.58425	CC       	12.32    	B        	 0.01121 	S        
250.31233	 39.29234	CC       	14.91    	         	 0.03054 	S        
239.64488	 17.45793	Ia       	13.49    	B        	 0.00726 	S        
159.69321	 53.50132	CC       	10.87    	         	 0.00320 	S        
238.72279	 19.01213	CC       	16.27    	         	 0.03561 	S        
157.36579	 22.01289	Ia       	15.09    	         	 0.05443 	S        
266.44667	 60.89413	IIn      	14.86    	B        	 0.03315 	S        
186.70663	  8.87727	CC       	12.61    	         	 0.00415 	S        
247.61443	 41.48839	Ia       	14.53    	B        	 0.02986 	S        
169.04138	 55.49171	Ia       	17.02    	         	 0.05761 	S        
319.56192	 -7.58431	Ia       	15.53    	         	 0.02883 	S        
350.46192	 25.15933	CC       	16.44    	         	 0.05600 	S        
161.65335	 13.74308	CC       	11.80    	B        	 0.00982 	S        
159.07729	 37.32111	Ia       	11.64    	         	 0.00523 	S        
209.09278	 47.24097	CC       	11.88    	B        	 0.00600 	S        
124.94288	 22.03326	CC       	12.80    	         	 0.01195 	S        
190.70396	 10.36042	Ia       	15.32    	B        	 0.02531 	S        
188.69125	 14.55962	Ia       	16.64    	B        	 0.04649 	S        
 45.50594	 42.58158	Ia       	13.56    	B        	 0.01393 	S        
 86.59825	 63.36864	Ia       	15.21    	         	 0.04900 	E/S0     
353.67050	 -3.15916	CC       	14.20    	         	 0.01723 	S        
 22.45367	 -1.97698	Ia       	14.58    	         	 0.01903 	E        
181.08813	 -0.72053	Ia       	17.05    	         	 0.07756 	S0       
145.09913	 14.93646	Ia       	12.93    	         	 0.01273 	E        
145.93396	 49.29886	CC       	16.62    	         	 0.02511 	S        
188.67792	  9.00219	Ia       	15.25    	         	 0.04295 	S        
157.44298	 13.02089	IIn      	14.91    	         	 0.00979 	S        
352.41675	 -3.04046	CC       	15.94    	B        	 0.01800 	S        
196.90579	 62.21306	CC       	14.11    	B        	 0.02769 	S        
357.47304	  2.70289	CC       	15.69    	         	 0.01772 	S        
138.50613	 40.10597	IIn      	12.32    	         	 0.00852 	S        
125.17042	 15.73007	Ia       	16.75    	B        	 0.08860 	S        
119.16779	 44.87203	Ia       	15.52    	B        	 0.05015 	S        
173.02900	 55.35964	Ia       	17.57    	         	 0.06364 	S        
150.40317	 54.58236	Ia       	17.09    	         	 0.05631 	S        
150.10254	 12.87544	Ia       	15.01    	B        	 0.02403 	S        
187.78588	  0.60553	Ia       	13.78    	         	 0.02308 	E        
157.44543	 13.02089	CC       	14.91    	         	 0.00979 	S        
205.29575	 30.37878	Ia       	14.67    	         	 0.04039 	S        
179.83767	 52.71624	CC       	12.90    	B        	 0.00361 	S        
252.46275	 40.43209	Ia       	15.92    	         	 0.02946 	S        
187.84092	 29.13450	Ia       	13.80    	         	 0.01524 	S        
200.37788	 -2.14947	Ia       	15.35    	         	 0.03457 	S        
208.90358	 40.46477	IIn      	10.86    	         	 0.00847 	S        
344.79054	 -4.51592	IIn      	16.94    	         	 0.19000 	S        
351.68525	 -4.96275	CC       	15.54    	         	 0.01900 	S        
349.23188	 -2.07678	Ia       	17.84    	         	 0.06895 	S        
329.08083	 73.25378	CC       	13.38    	B        	 0.00492 	S        
  4.79583	 15.10697	CC       	17.13    	         	 0.01455 	S        
359.63775	 10.72331	CC       	13.46    	         	 0.01761 	S        
 41.45346	  3.23058	Ia       	14.96    	         	 0.02272 	S        
147.73321	 33.55261	Ia       	12.38    	         	 0.00513 	S        
 11.95604	 29.95744	Ia       	14.95    	         	 0.01671 	S0       
  4.07350	 12.41483	CC       	16.34    	         	 0.00580 	S        
147.93125	 40.31406	CC       	16.71    	         	 0.04766 	S        
145.22829	  5.14072	Ia       	12.50    	B        	 0.00657 	S0       
136.23917	 59.93297	CC       	13.30    	         	 0.00505 	S        
