RA	DEC	SNtype	mag_g	bar	redshift	Galtype2
188.73279	 15.56875	CC       	14.66    	         	 0.04582 	S        
210.51308	-10.58997	Ia       	17.26    	         	 0.03002 	S        
125.69900	 24.29492	CC       	13.10    	         	 0.01285 	S        
 40.48933	 -6.79622	CC       	14.89    	B        	 0.01717 	S        
174.43300	 22.00956	Ia       	14.67    	B        	 0.03009 	S        
173.09146	  0.80244	CC       	13.45    	         	 0.01996 	S        
249.37108	 40.88064	Ia       	15.97    	         	 0.02639 	S        
153.92629	 55.66853	Ia       	14.33    	B        	 0.02438 	S        
224.91346	 13.21236	Ia       	15.00    	         	 0.04251 	S        
147.77733	  9.00158	CC       	13.65    	         	 0.01731 	S        
203.22688	  9.52167	Ia       	15.21    	         	 0.02330 	S        
173.16267	 52.94839	Ia       	14.67    	         	 0.02646 	S        
154.52713	 21.82825	Ia       	11.30    	         	 0.00438 	S        
158.53717	 19.70569	Ia       	14.68    	B        	 0.03403 	S        
117.50471	 30.02561	IIn      	14.43    	B        	 0.02758 	S        
139.97908	 37.20231	CC       	14.57    	         	 0.00753 	S        
216.16883	 26.62631	Ia       	14.72    	         	 0.03713 	S0       
186.96942	 27.00169	CC       	13.62    	B        	 0.02378 	S        
203.13129	  1.84514	CC       	13.72    	B        	 0.01091 	S        
196.09988	 47.59811	IIn      	14.83    	B        	 0.02955 	S        
128.50821	 55.65344	Ia       	17.69    	         	 0.06600 	S        
305.89342	 58.34650	Ia       	13.34    	B        	 0.01034 	S        
128.34208	 29.53361	CC       	12.89    	B        	 0.00695 	S        
247.25200	 41.28344	CC       	14.41    	         	 0.03189 	S        
168.63217	 33.80508	CC       	16.68    	         	 0.03698 	S        
243.90813	 31.32150	Ia       	16.12    	B        	 0.02220 	S        
236.75313	 -0.99042	Ia       	14.24    	B        	 0.02974 	S        
206.04142	 -0.21606	CC       	16.62    	         	 0.07170 	S        
149.89979	 35.39928	CC       	13.09    	         	 0.01713 	S        
154.51533	 21.83500	Ia       	11.30    	         	 0.00438 	S        
218.71513	 48.66469	Ia       	15.10    	B        	 0.03664 	S        
244.12658	 35.70839	Ia       	13.90    	B        	 0.02789 	S        
311.41388	 -4.95131	Ia       	14.45    	B        	 0.02868 	S        
224.31788	  5.90017	CC       	17.28    	         	 0.04670 	S        
253.09708	 30.71111	Ia       	14.42    	         	 0.03641 	S0       
274.43133	 22.24817	Ia       	13.78    	         	 0.01853 	S        
328.59363	 15.16172	CC       	13.91    	         	 0.02455 	S        
352.12550	 22.42744	Ia       	11.96    	         	 0.01163 	S        
342.75417	 31.37306	Ia       	13.41    	         	 0.02193 	S0       
359.27804	 29.83764	Ia       	14.82    	B        	 0.02368 	S        
352.09696	 -2.80472	CC       	14.24    	         	 0.03304 	S        
  3.39200	 -5.09603	CC       	13.98    	         	 0.01804 	S        
 32.10450	 14.34800	IIn      	13.34    	         	 0.01477 	S        
334.77183	 24.59439	Ia       	15.07    	B        	 0.02754 	S        
229.85371	 20.88722	Ia       	14.26    	         	 0.03991 	E        
 36.53521	 31.91256	Ia       	13.28    	         	 0.01797 	S0       
256.34425	 75.40672	CC       	13.79    	         	 0.01623 	S        
 93.96792	 64.43031	CC       	14.99    	         	 0.01354 	S        
344.92008	 24.07153	CC       	15.31    	B        	 0.03389 	S        
329.34025	 -7.85689	Ia       	17.59    	         	 0.05605 	S        
 27.43167	 32.62861	Ia       	15.88    	         	 0.03763 	S0       
313.62708	 -0.14056	CC       	15.97    	         	 0.02993 	S        
313.09075	  2.14497	CC       	16.89    	         	 0.06000 	S        
130.18792	 -4.12736	IIn      	12.16    	B        	 0.01445 	S        
 50.52379	-15.40089	Ia       	11.75    	         	 0.00713 	S        
343.50367	 14.65681	Ia       	18.58    	         	 0.03829 	S        
332.48329	 12.08517	CC       	20.00    	         	 0.09100 	S        
196.98025	 34.08514	Ia       	14.80    	B        	 0.03365 	S        
340.83879	 -0.11472	Ia       	19.01    	         	 0.07386 	S        
348.65408	  4.50158	CC       	13.86    	         	 0.00893 	S        
313.82450	 -0.07261	Ia       	17.06    	         	 0.08622 	S        
 29.22733	 -1.11361	Ia       	16.04    	         	 0.04354 	S        
311.82742	  0.31267	Ia       	12.23    	         	 0.01401 	S        
159.29417	 12.65356	CC       	13.73    	         	 0.00964 	S        
 44.53892	  4.68439	CC       	16.71    	B        	 0.02360 	S        
171.16717	 38.76750	Ia       	11.17    	         	 0.00690 	E/S0     
179.62325	 27.52919	CC       	14.13    	B        	 0.01148 	S        
122.56229	 33.95539	CC       	12.70    	         	 0.01758 	S        
183.82488	 65.98197	CC       	12.95    	B        	 0.00904 	S        
140.54546	 33.83633	Ia       	13.78    	         	 0.02330 	E/S0     
  1.70442	  8.63014	Ia       	13.79    	         	 0.01762 	S        
336.95642	 38.58597	CC       	14.23    	         	 0.01816 	S        
200.61183	 -2.41781	Ia       	14.01    	B        	 0.02319 	S        
 26.41050	 24.13553	Ia       	19.05    	         	 0.07200 	S        
330.46842	 -1.17336	Ia       	17.45    	         	 0.10059 	S        
338.02942	  0.91556	CC       	18.21    	         	 0.05570 	S        
  3.38792	-10.21942	Ia       	19.30    	         	 0.10919 	S        
163.65983	-21.06489	CC       	12.68    	B        	 0.01247 	S        
  6.84342	 24.18308	CC       	16.65    	         	 0.02490 	S        
334.87000	 29.38458	Ia       	14.05    	         	 0.01499 	S        
170.72146	 16.58611	CC       	12.12    	         	 0.00501 	S        
 54.87313	-13.11550	CC       	14.23    	         	 0.01387 	S        
219.56842	 40.45389	Ia       	13.21    	         	 0.00904 	S        
 20.31779	 40.49869	Ia       	12.90    	B        	 0.01954 	S        
241.73300	 55.47172	Ia       	16.76    	         	 0.12000 	S        
249.85388	 41.79139	CC       	18.17    	         	 0.14199 	S        
162.14108	 66.37483	CC       	14.92    	         	 0.02187 	S        
161.65342	 13.75894	Ia       	11.80    	B        	 0.00982 	S        
139.80525	 48.96919	CC       	14.88    	         	 0.02921 	S        
224.11696	 45.35256	CC       	16.02    	         	 0.03657 	S        
142.09408	 27.44464	Ia       	17.70    	         	 0.03275 	S        
167.59038	 23.41414	Ia       	15.70    	         	 0.02062 	S        
171.50758	  1.98411	Ia       	14.20    	         	 0.02276 	S        
 70.78558	  0.76678	Ia       	17.02    	         	 0.03000 	S        
195.24450	 39.85681	Ia       	16.17    	         	 0.03619 	S        
201.97313	 28.50811	Ia       	14.53    	         	 0.03699 	E        
242.79817	 61.26617	Ia       	13.37    	         	 0.03079 	E/S0     
122.14804	  7.77839	Ia       	16.96    	         	 0.05400 	S        
122.10979	 12.33228	Ia       	16.11    	         	 0.03358 	S        
150.02613	 28.28111	Ia       	17.84    	         	 0.08926 	S        
185.67558	  9.33367	CC       	13.55    	         	 0.00418 	S        
209.37771	  6.09344	CC       	12.95    	         	 0.01448 	S        
121.84529	 40.39564	CC       	13.21    	B        	 0.02636 	S        
126.86588	 17.28736	CC       	14.29    	         	 0.01980 	S        
110.54967	 40.46708	CC       	14.22    	B        	 0.04488 	S        
 10.33713	 -1.71503	CC       	13.48    	         	 0.01767 	S        
167.59929	  4.82664	CC       	14.06    	         	 0.03037 	S        
196.90438	 -0.94719	CC       	13.70    	         	 0.01808 	S        
122.29638	 57.68722	Ia       	15.11    	         	 0.01977 	S        
179.05904	 60.52197	Ia       	13.04    	         	 0.03318 	S        
224.64804	 44.88511	CC       	14.04    	         	 0.03622 	S        
140.94817	 42.18017	CC       	15.64    	         	 0.01385 	S        
144.24513	 31.33381	CC       	15.46    	         	 0.02684 	S        
154.74313	 46.45431	CC       	15.72    	         	 0.02993 	S        
311.82317	  0.31189	Ia       	12.23    	         	 0.01401 	S        
218.64917	 59.33439	Ia       	14.55    	B        	 0.00635 	S        
224.52050	 58.88053	IIn      	14.58    	B        	 0.00761 	S        
167.10142	  3.49639	Ia       	14.74    	         	 0.02540 	S        
247.16792	 12.76828	IIn      	16.37    	         	 0.02640 	S        
189.79625	  0.72511	CC       	14.00    	         	 0.01696 	S        
259.63542	 41.66689	Ia       	17.39    	         	 0.03604 	S        
197.44250	 28.90600	CC       	13.60    	B        	 0.01865 	S        
320.28058	 23.08494	Ia       	12.49    	         	 0.01571 	S0       
190.79946	 -2.50114	Ia       	15.47    	B        	 0.04797 	S        
 77.88746	 17.05789	Ia       	14.52    	         	 0.01727 	S        
205.43208	 40.87736	Ia       	14.87    	B        	 0.06014 	S        
 32.11721	  6.39775	IIn      	13.94    	         	 0.01150 	S        
245.03646	 37.79825	Ia       	15.34    	         	 0.03347 	S        
345.42913	  2.26908	CC       	13.28    	         	 0.01065 	S        
358.47496	  7.95658	Ia       	12.77    	         	 0.01794 	S        
338.46533	 20.80236	Ia       	15.40    	         	 0.03445 	S        
240.98113	 25.00689	CC       	14.56    	B        	 0.03315 	S        
345.74771	 34.72211	CC       	15.01    	         	 0.01933 	S        
 17.22158	 32.09981	CC       	15.11    	         	 0.03477 	S        
359.73771	 -2.24808	Ia       	14.83    	B        	 0.02551 	S        
357.85054	 20.11064	CC       	12.22    	         	 0.01432 	S        
  0.02950	  8.27842	Ia       	14.36    	         	 0.03870 	E/S0     
239.14083	 41.89653	CC       	14.99    	         	 0.03566 	S        
231.08546	 29.95331	Ia       	15.99    	         	 0.07610 	S        
 41.60704	  3.60897	CC       	13.37    	         	 0.02265 	S        
 29.83867	 19.00403	CC       	11.03    	         	 0.00813 	S        
 42.24329	  3.16878	Ia       	13.89    	         	 0.01392 	S        
265.07788	 51.02814	CC       	15.36    	B        	 0.02075 	S        
248.42042	 50.37714	Ia       	15.36    	B        	 0.04000 	S        
287.88083	 77.89311	Ia       	15.83    	         	 0.07500 	S        
328.59471	 15.16033	IIn      	13.91    	         	 0.02455 	S        
141.87283	  3.92933	CC       	14.34    	         	 0.01778 	S        
244.42154	 35.00200	Ia       	13.96    	         	 0.02982 	S0       
 10.45929	 -9.30528	Ia       	13.92    	         	 0.05536 	E/S0     
 55.99050	 39.29533	CC       	18.59    	         	 0.01652 	S        
 11.24700	 -8.88653	Ia       	14.50    	         	 0.01959 	S        
 53.88879	  5.06464	Ia       	15.35    	         	 0.02133 	S        
  8.31983	  7.90542	CC       	15.60    	         	 0.01801 	S        
 29.83300	 18.99494	CC       	11.03    	         	 0.00813 	S        
  1.45196	 27.45267	Ia       	14.74    	B        	 0.02512 	S        
 28.85229	 21.28511	Ia       	15.28    	         	 0.04110 	S        
324.92929	  6.28417	CC       	13.62    	         	 0.01617 	S        
245.43008	 55.08478	CC       	13.59    	         	 0.01771 	S        
 15.52813	 26.93925	Ia       	14.35    	         	 0.04821 	E        
182.74050	 50.47550	CC       	12.11    	         	 0.00256 	S        
222.34283	 63.26839	Ia       	13.82    	         	 0.04168 	S        
132.34267	 36.71572	CC       	13.96    	B        	 0.02506 	S        
268.38938	 64.17003	CC       	14.90    	B        	 0.03520 	S        
351.51367	 -8.98964	CC       	16.40    	         	 0.08239 	S        
146.61946	 45.75131	Ia       	14.00    	         	 0.01585 	E        
146.64300	 30.65528	Ia       	14.56    	B        	 0.03316 	S        
 45.19083	 44.45361	Ia       	13.53    	         	 0.03019 	E        
146.47067	 34.68372	IIn      	14.44    	B        	 0.02044 	S        
330.89433	 15.10294	Ia       	13.83    	         	 0.02598 	E        
169.55088	 30.39486	CC       	14.75    	B        	 0.02631 	S        
121.05146	 84.64092	CC       	14.96    	         	 0.00621 	S        
179.52625	 47.33319	CC       	15.51    	         	 0.04700 	S        
144.64696	 52.29811	Ia       	15.80    	         	 0.05042 	E        
165.80138	 11.07731	CC       	13.23    	         	 0.02134 	S        
157.58421	 61.26347	CC       	15.24    	         	 0.03071 	S        
 20.85758	 30.78747	Ia       	14.61    	B        	 0.03446 	S        
  3.96604	 16.08933	CC       	14.34    	         	 0.01404 	S        
 18.38617	 -0.61592	CC       	19.36    	         	 0.20000 	S        
176.11904	 69.73183	CC       	13.92    	         	 0.00902 	S        
  0.76675	 -1.91264	Ia       	13.92    	         	 0.02426 	S        
244.84025	 41.08989	Ia       	15.52    	         	 0.03765 	S0       
 54.53804	 40.97722	CC       	14.24    	         	 0.01649 	S        
205.33121	 55.67681	Ia       	16.60    	         	 0.03982 	S        
138.54608	 16.74667	CC       	13.86    	         	 0.02786 	S        
260.69025	 62.16400	Ia       	14.08    	         	 0.02832 	S        
146.70617	 16.04378	Ia       	13.36    	B        	 0.02007 	S        
133.64417	 57.17217	Ia       	13.74    	         	 0.01687 	S0       
136.88525	 60.48819	CC       	11.95    	         	 0.00427 	S        
250.75792	 36.83681	CC       	11.87    	         	 0.00284 	S        
127.44821	 48.77303	CC       	15.35    	         	 0.02402 	S        
220.08154	 16.68439	CC       	14.94    	         	 0.02992 	S        
151.43254	 10.27142	Ia       	14.97    	         	 0.02403 	S0       
179.61354	 10.01792	CC       	14.11    	         	 0.01389 	S        
171.41325	 22.83039	Ia       	16.47    	         	 0.03139 	S        
164.68825	 59.48667	Ia       	15.81    	         	 0.02234 	S        
265.51242	 25.61997	CC       	14.45    	         	 0.02482 	S        
179.45933	 25.26531	CC       	13.55    	B        	 0.01568 	S        
178.20092	 29.34769	Ia       	13.84    	         	 0.02870 	S0       
 70.51963	 -7.20228	Ia       	14.70    	B        	 0.01565 	S0       
174.92575	 31.90883	Ia       	12.91    	B        	 0.00902 	S        
207.31438	 35.25347	CC       	14.20    	         	 0.01679 	S        
199.07513	  7.04797	Ia       	13.82    	         	 0.05014 	E        
204.36967	  4.10314	Ia       	14.25    	B        	 0.02306 	S        
183.80033	 -3.43842	Ia       	14.79    	B        	 0.01740 	S        
163.14721	 22.93486	CC       	12.27    	         	 0.00419 	S        
163.12942	  7.22811	CC       	14.07    	         	 0.02174 	S        
167.47188	 37.00178	Ia       	15.25    	         	 0.02981 	S        
159.91375	 25.32219	CC       	13.75    	B        	 0.01733 	S        
238.71679	 21.11972	CC       	15.49    	         	 0.01833 	S        
333.75438	 15.40461	Ia       	14.73    	         	 0.03417 	S        
171.87383	 56.88006	CC       	12.66    	         	 0.00570 	S        
189.14333	 11.24244	CC       	11.22    	         	 0.00745 	S        
235.37429	 15.78697	CC       	13.30    	         	 0.01365 	S        
155.70883	 11.70300	Ia       	18.00    	         	 0.10191 	S        
153.64667	 11.86825	Ia       	14.98    	         	 0.02927 	S        
127.38946	  8.86817	Ia       	17.92    	         	 0.11215 	S        
211.85400	 55.10306	CC       	13.70    	         	 0.00456 	S        
186.86713	 42.34128	Ia       	18.34    	         	 0.02436 	S        
202.14171	 41.85228	Ia       	16.14    	         	 0.02760 	S        
235.10317	 32.86589	Ia       	17.44    	         	 0.05378 	S        
232.83233	 40.28114	Ia       	15.72    	         	 0.02200 	S        
235.94063	 28.41653	Ia       	14.83    	         	 0.03275 	S        
241.56021	 18.41500	Ia       	15.55    	         	 0.03708 	S        
179.11592	 39.73797	CC       	14.20    	B        	 0.02063 	S        
355.32696	  4.01842	CC       	14.03    	         	 0.02093 	S        
224.99567	  1.89044	CC       	11.94    	         	 0.00449 	S        
  4.50163	 24.56236	CC       	14.48    	         	 0.01935 	S        
238.92092	 47.86364	Ia       	13.15    	         	 0.01977 	S0       
245.45388	 -2.27147	CC       	12.13    	         	 0.00524 	S        
 30.55321	 -0.09764	Ia       	13.15    	B        	 0.01940 	S        
317.87554	 -2.03703	CC       	13.93    	         	 0.03074 	S        
199.21417	 31.58661	Ia       	15.17    	         	 0.02969 	S        
262.10125	 57.54603	CC       	14.94    	         	 0.02855 	S        
257.02067	 26.37900	IIn      	14.93    	         	 0.04199 	S        
340.54175	 19.99456	Ia       	14.10    	B        	 0.03097 	S        
 55.38621	 37.22506	CC       	15.98    	         	 0.01920 	S        
 17.49379	 32.37992	CC       	13.73    	         	 0.01726 	S        
224.96579	 54.61836	CC       	16.25    	         	 0.02627 	S        
292.87963	 35.87103	CC       	12.88    	         	 0.01490 	S        
 39.24600	 -5.35547	CC       	13.60    	         	 0.01475 	S        
110.89425	 41.42731	CC       	14.17    	B        	 0.02762 	S        
327.28254	  0.44422	Ia       	14.50    	B        	 0.01583 	S        
163.06296	 32.95558	CC       	11.92    	         	 0.00528 	S        
 49.47417	 -7.29528	IIn      	13.11    	B        	 0.01751 	S        
 40.81354	 32.42378	Ia       	12.10    	         	 0.01732 	E/S0     
  7.54696	  2.08986	CC       	12.83    	         	 0.01787 	S        
356.85188	 28.38956	Ia       	14.85    	         	 0.03013 	S        
133.06063	 52.89178	Ia       	14.68    	B        	 0.03094 	S        
 30.27671	 31.87894	Ia       	12.73    	         	 0.01731 	S        
218.33917	  4.44708	CC       	11.81    	         	 0.00528 	S        
186.38838	 12.26108	CC       	14.44    	         	-0.00030 	S        
132.52038	 49.24550	Ia       	15.79    	         	 0.03930 	S        
188.55042	  2.65956	CC       	11.08    	         	 0.00550 	S        
171.56258	 27.86853	CC       	14.20    	         	 0.02404 	S        
129.59658	 17.62772	Ia       	14.65    	         	 0.02740 	S0       
191.60300	 11.94892	Ia       	17.98    	         	 0.04559 	S        
 33.40592	 -0.71828	CC       	13.37    	         	 0.02007 	S        
353.37833	 24.01861	CC       	14.94    	B        	 0.02657 	S        
195.99392	 26.23436	CC       	18.67    	         	 0.02690 	S        
173.49904	 49.06292	Ia       	13.73    	         	 0.03163 	S0       
 31.60421	 -4.63444	Ia       	19.19    	         	 0.20000 	S        
 16.20279	 -0.89597	CC       	17.07    	B        	 0.06488 	S        
 18.76008	  0.26192	Ia       	16.79    	         	 0.04781 	S        
 40.30250	 -0.87944	CC       	17.28    	         	 0.18232 	S        
316.51771	  1.21583	CC       	17.89    	         	 0.05805 	S        
 40.88013	  0.30853	CC       	14.14    	B        	 0.02667 	S        
 40.23500	 -0.18008	CC       	18.74    	         	 0.05621 	S        
310.20021	  1.04283	CC       	17.27    	         	 0.09337 	S        
330.44408	  1.23667	Ia       	17.97    	         	 0.05134 	S        
 22.60858	  0.69231	Ia       	18.61    	         	 0.16044 	S        
215.91604	-19.44722	Ia       	15.14    	B        	 0.03613 	S        
156.76713	 16.01869	Ia       	14.94    	B        	 0.03229 	S        
203.74067	 34.04269	Ia       	13.47    	         	 0.02365 	S        
164.04279	 47.39542	CC       	14.85    	         	 0.02149 	S        
222.73042	 17.22017	CC       	17.20    	         	 0.04032 	S        
190.90217	 11.53078	Ia       	 9.52    	         	 0.00370 	E        
175.86775	 21.67508	Ia       	16.61    	         	 0.06840 	S        
203.07242	 60.39539	CC       	15.49    	         	 0.02313 	S        
 37.68021	 -2.93883	Ia       	12.80    	         	 0.01914 	S        
137.01754	 27.24983	CC       	14.81    	         	 0.02121 	S        
190.27158	 50.38228	CC       	13.66    	         	 0.01553 	S        
 37.12271	 -1.13889	CC       	12.83    	B        	 0.00532 	S        
224.18188	  9.32847	Ia       	16.51    	         	 0.07955 	S        
 44.70354	 75.75383	CC       	15.68    	         	 0.00850 	S        
220.13358	  3.51031	Ia       	15.84    	         	 0.02736 	S0       
266.20683	 61.90781	Ia       	14.55    	         	 0.03841 	S        
 67.91175	 -4.58522	IIn      	14.07    	         	 0.01352 	S        
199.05158	 30.94508	CC       	13.51    	         	 0.01870 	S        
196.44571	 27.73567	CC       	13.46    	B        	 0.00844 	S        
174.42742	 22.01081	CC       	14.67    	B        	 0.03009 	S        
194.29946	 -1.70483	CC       	13.69    	         	 0.00947 	S        
219.31271	 38.45642	Ia       	13.35    	B        	 0.01211 	S        
224.88633	 16.66989	Ia       	15.73    	         	 0.03356 	S        
155.98863	 -3.19128	CC       	13.25    	B        	 0.01887 	S        
184.32158	 16.37156	Ia       	14.87    	         	 0.02303 	S        
172.43333	 22.12753	CC       	14.35    	B        	 0.02170 	S        
246.83863	 39.11200	CC       	14.39    	         	 0.03303 	S        
252.43642	 17.86353	CC       	14.79    	B        	 0.02218 	S        
240.57100	 42.91536	CC       	14.33    	         	 0.02444 	S        
181.05108	 20.40689	Ia       	13.36    	         	 0.02392 	S0       
230.18792	 36.81181	Ia       	16.94    	         	 0.10345 	S0       
180.84963	 35.32583	CC       	17.15    	         	 0.02840 	S        
257.43008	 36.41892	CC       	15.04    	         	 0.02767 	S        
196.80446	 58.13567	CC       	14.63    	B        	 0.02755 	S        
216.03100	 26.29731	Ia       	17.27    	         	 0.03569 	S        
203.37388	 33.04106	CC       	14.02    	B        	 0.02446 	S        
168.87258	 60.75153	CC       	16.43    	B        	 0.04586 	S        
203.16079	 11.80922	Ia       	18.74    	B        	 0.15038 	S        
339.13733	 25.75972	CC       	13.31    	B        	 0.02460 	S        
218.68700	 48.67217	CC       	14.48    	B        	 0.00759 	S        
315.50979	 -6.29325	IIn      	13.42    	B        	 0.02576 	S        
359.87867	 18.20267	IIn      	14.73    	B        	 0.02211 	S        
185.57171	 12.39703	Ia       	16.13    	         	 0.02140 	S        
 28.42733	 29.93453	CC       	14.19    	         	 0.02555 	S        
 38.65238	  1.34811	CC       	15.23    	         	 0.02414 	S        
238.51383	 23.13608	Ia       	14.27    	         	 0.01459 	S0       
216.90258	 41.25417	CC       	13.38    	B        	 0.00892 	S        
341.19354	 33.46044	CC       	12.78    	B        	 0.02194 	S        
354.65950	  5.43808	CC       	14.31    	         	 0.01898 	S        
 39.80975	  1.09861	CC       	12.25    	         	 0.00908 	S0       
 13.71225	 29.24633	CC       	14.78    	         	 0.01548 	S        
359.48263	 32.63581	CC       	16.87    	         	 0.03246 	Im       
 14.59529	  0.67900	Ia       	18.13    	         	 0.10766 	S        
329.19850	  0.31750	Ia       	20.39    	         	 0.12000 	S        
 46.45400	 36.76961	CC       	13.12    	         	 0.01663 	S        
119.80254	 32.91681	CC       	13.83    	         	 0.01732 	S        
119.80808	 32.92214	CC       	13.83    	         	 0.01732 	S        
 47.20546	 -7.03325	Ia       	14.74    	         	 0.02891 	S        
351.44842	  8.03814	CC       	14.86    	         	 0.03792 	S        
 25.46350	 -0.87639	Ia       	18.11    	         	 0.09349 	S        
136.22367	 13.56564	Ia       	14.23    	         	 0.02830 	S0       
 24.90033	 -0.75875	Ia       	18.74    	         	 0.16149 	S        
 45.32308	 -0.64408	Ia       	18.67    	         	 0.18291 	S        
337.67254	 -0.77661	Ia       	19.10    	         	 0.07000 	S        
339.01750	 -0.37522	Ia       	19.10    	         	 0.25764 	S        
349.37379	  0.42939	Ia       	18.67    	         	 0.11902 	S        
 46.34346	  0.85836	Ia       	18.58    	         	 0.11812 	S        
206.13663	  4.77897	Ia       	14.09    	         	 0.02314 	S        
 16.93233	 -1.03950	Ia       	19.25    	         	 0.16000 	S        
 19.05242	  0.79194	Ia       	17.52    	B        	 0.08642 	S        
312.65146	 -0.35411	Ia       	19.05    	         	 0.25908 	S        
 13.96950	  0.50494	CC       	18.96    	         	 0.05053 	S        
 12.45842	 32.28244	IIn      	12.23    	B        	 0.01558 	S        
 55.66375	 -6.38444	CC       	14.16    	B        	 0.02117 	S        
316.33621	 -7.84653	CC       	14.30    	         	 0.02841 	S        
 32.41050	-10.14544	CC       	13.28    	         	 0.01284 	S0       
 29.19975	 -0.21367	Ia       	15.85    	         	 0.04589 	S        
339.93933	 34.37861	CC       	13.61    	B        	 0.02481 	S        
 21.77488	 19.11681	Ia       	16.12    	         	 0.04311 	S        
313.83246	  0.54297	CC       	15.01    	         	 0.02318 	S        
 14.85042	  0.00261	Ia       	17.61    	B        	 0.06282 	S        
212.51192	 17.72289	CC       	11.90    	B        	 0.01816 	S        
 52.55363	 -0.97458	Ia       	17.80    	         	 0.06706 	S        
 46.08858	 -1.06294	Ia       	18.74    	         	 0.12449 	S        
143.02675	  8.44567	CC       	12.84    	         	 0.00715 	S        
 19.18233	  0.79456	Ia       	17.48    	         	 0.07633 	S        
305.06500	  0.21739	Ia       	17.51    	         	 0.09000 	S        
179.61892	 10.01922	CC       	14.11    	         	 0.01389 	S        
 38.86092	  1.07489	Ia       	17.47    	         	 0.09389 	S        
 23.67300	 -0.60536	Ia       	17.28    	         	 0.07956 	S0       
 39.11683	  0.51128	Ia       	19.90    	         	 0.26000 	S        
144.01796	 16.76300	CC       	15.28    	         	 0.02735 	S        
 12.71117	  0.85361	CC       	17.22    	         	 0.01526 	S        
338.53058	  5.56842	Ia       	12.89    	         	 0.01514 	S        
116.86046	 26.92567	CC       	17.05    	         	 0.01503 	S        
150.35588	 15.78039	CC       	12.54    	B        	 0.00802 	S        
160.11758	  9.20233	Ia       	12.46    	         	 0.01946 	E/S0     
159.91675	 25.32364	CC       	13.75    	B        	 0.01733 	S        
186.14867	 39.38431	CC       	12.00    	         	 0.00338 	S        
170.20300	 32.29033	Ia       	14.87    	         	 0.02785 	S        
318.88521	 -0.35533	Ia       	19.30    	         	 0.19741 	S        
 17.74188	  0.27614	Ia       	17.20    	         	 0.06533 	S        
344.92754	 -0.01369	Ia       	16.81    	         	 0.04542 	S        
128.54646	  6.27636	Ia       	19.63    	         	 0.07200 	S        
144.02521	 24.40383	Ia       	17.43    	         	 0.07049 	S        
 36.15104	 -4.18192	Ia       	19.30    	         	 0.14800 	S        
343.70854	 -0.25250	CC       	19.72    	         	 0.03000 	S        
 45.54658	 -1.16650	CC       	18.70    	         	 0.01361 	S        
 29.42929	 -0.17944	Ia       	18.64    	         	 0.07774 	S        
329.95596	 -1.19369	Ia       	18.39    	         	 0.10418 	S        
 43.56654	 42.72494	Ia       	14.44    	         	 0.02114 	S        
175.60921	 20.11806	Ia       	14.30    	B        	 0.01996 	S        
 20.87017	 30.77936	IIn      	14.61    	B        	 0.03446 	S        
144.38483	 23.20075	Ia       	14.58    	         	 0.02474 	S        
196.46858	 41.71639	CC       	13.07    	         	 0.02383 	S        
126.77650	 21.64600	Ia       	13.94    	B        	 0.02515 	S0       
137.17638	 44.81428	CC       	14.74    	B        	 0.02674 	S        
  4.18421	  7.07217	CC       	13.81    	         	 0.01323 	S        
 57.32683	 -0.69206	CC       	18.30    	         	 0.04737 	S        
132.30975	 36.12997	Ia       	14.20    	         	 0.02522 	S        
325.03417	 10.65389	CC       	18.58    	         	 0.03200 	S        
183.40671	 16.12117	CC       	14.74    	B        	 0.02371 	S        
160.57633	 -0.37811	CC       	13.48    	         	 0.01854 	S        
168.73671	 33.82658	IIn      	14.53    	         	 0.03690 	S        
212.12017	  7.05756	Ia       	14.07    	B        	 0.01982 	S        
216.57183	 26.24661	CC       	14.82    	         	 0.03024 	S        
 27.69063	 21.75989	Ia       	12.72    	         	 0.00888 	S        
 24.40538	  0.04161	CC       	15.53    	         	 0.01640 	S        
161.28825	 22.07731	CC       	13.89    	         	 0.01928 	S        
178.33288	 20.75506	IIn      	13.60    	B        	 0.02070 	S        
190.43692	 35.06864	Ia       	13.03    	B        	 0.02309 	S        
136.92963	 12.05181	CC       	17.02    	B        	 0.03000 	S        
222.09696	 21.79764	Ia       	18.39    	         	 0.15561 	S        
158.48825	 20.34047	Ia       	16.56    	         	 0.08734 	S0       
180.07133	 28.60611	IIn      	18.92    	         	 0.03500 	Im       
216.90517	 41.25983	IIn      	13.38    	B        	 0.00892 	S        
177.08121	 38.74667	CC       	15.46    	B        	 0.05536 	S        
159.37813	 65.01614	Ia       	15.60    	         	 0.02249 	S        
198.17129	 63.27928	CC       	18.77    	         	 0.01500 	Im       
183.06117	 56.17939	Ia       	13.53    	         	 0.03108 	S        
350.29075	 33.40033	Ia       	14.62    	         	 0.01636 	S        
128.37954	 41.51781	Ia       	13.81    	         	 0.02471 	S0       
174.61858	 20.52622	Ia       	13.95    	         	 0.02555 	E/S0     
236.41250	 28.08867	CC       	14.36    	         	 0.00714 	S        
185.57983	  7.62369	CC       	17.09    	         	 0.03770 	S        
226.14004	 35.96419	Ia       	14.08    	         	 0.04937 	E/S0     
234.96092	 14.18925	CC       	14.83    	         	 0.03237 	S        
169.58921	 28.21208	Ia       	16.85    	         	 0.06842 	S        
279.99533	 39.98244	Ia       	13.69    	         	 0.02191 	E/S0     
